robot_x,robot_y,robot_z,robot_rx,robot_ry,robot_rz,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
50.0,-75.0,-175.0,-0.0,0.0,180.0,48.44,-74.2,-231.14,-0.013,-0.016,0.568,0.823,0.198
50.0,-75.0,-190.0,-0.0,-0.0,180.0,48.63,-74.06,-216.48,-0.013,-0.016,0.572,0.82,0.164
50.0,-75.0,-205.0,-0.0,-0.0,180.0,48.97,-73.82,-201.96,-0.01,-0.017,0.578,0.816,0.152
50.0,-75.0,-220.0,-0.0,-0.0,180.0,49.21,-74.16,-187.33,-0.01,-0.015,0.582,0.813,0.154
50.0,-75.0,-235.0,-0.0,-0.0,180.0,49.6,-74.11,-172.6,-0.008,-0.016,0.588,0.809,0.166
50.0,-75.0,-250.0,-0.0,-0.0,180.0,49.65,-74.41,-158.05,-0.008,-0.013,0.593,0.805,0.181
50.0,-75.0,-265.0,-0.0,-0.0,180.0,49.79,-74.38,-143.36,-0.003,-0.013,0.6,0.799,0.209
50.0,-75.0,-280.0,-0.0,-0.0,180.0,50.03,-74.76,-128.87,-0.001,-0.009,0.609,0.793,0.249
50.0,-75.0,-295.0,-0.0,-0.0,180.0,50.01,-74.63,-114.31,0.005,-0.007,0.619,0.785,0.302
50.0,-75.0,-310.0,-0.0,-0.0,180.0,50.11,-75.03,-100.17,0.01,-0.005,0.626,0.78,0.346
50.0,-75.0,-325.0,-0.0,-0.0,180.0,50.2,-75.12,-85.4,0.014,-0.005,0.626,0.78,0.357
50.0,-60.0,-175.0,-0.0,-0.0,180.0,48.2,-59.13,-231.17,-0.012,-0.016,0.568,0.823,0.205
50.0,-60.0,-190.0,-0.0,-0.0,180.0,48.63,-58.93,-216.85,-0.01,-0.017,0.571,0.821,0.158
50.0,-60.0,-205.0,-0.0,-0.0,180.0,48.91,-59.19,-202.34,-0.01,-0.016,0.573,0.819,0.128
50.0,-60.0,-220.0,-0.0,-0.0,180.0,49.22,-59.3,-187.61,-0.01,-0.016,0.574,0.818,0.105
50.0,-60.0,-235.0,-0.0,-0.0,180.0,49.51,-59.64,-172.69,-0.01,-0.017,0.575,0.818,0.089
50.0,-60.0,-250.0,-0.0,-0.0,180.0,49.94,-59.78,-158.27,-0.008,-0.016,0.578,0.816,0.087
50.0,-60.0,-265.0,-0.0,-0.0,180.0,50.08,-60.01,-143.65,-0.007,-0.015,0.578,0.816,0.079
50.0,-60.0,-280.0,-0.0,-0.0,180.0,50.31,-60.2,-128.84,-0.004,-0.014,0.58,0.814,0.082
50.0,-60.0,-295.0,-0.0,-0.0,180.0,50.36,-60.61,-114.16,-0.002,-0.012,0.583,0.812,0.091
50.0,-60.0,-310.0,-0.0,-0.0,180.0,50.53,-60.45,-99.69,0.002,-0.01,0.587,0.81,0.104
50.0,-60.0,-325.0,-0.0,-0.0,180.0,50.73,-60.82,-84.83,0.004,-0.008,0.59,0.807,0.118
50.0,-45.0,-175.0,-0.0,-0.0,180.0,48.09,-44.1,-231.33,-0.01,-0.017,0.564,0.826,0.2
50.0,-45.0,-190.0,-0.0,-0.0,180.0,48.46,-44.16,-216.73,-0.009,-0.018,0.566,0.824,0.147
50.0,-45.0,-205.0,-0.0,-0.0,180.0,48.83,-44.23,-202.47,-0.009,-0.018,0.567,0.824,0.107
50.0,-45.0,-220.0,-0.0,-0.0,180.0,49.25,-44.6,-188.03,-0.009,-0.017,0.568,0.823,0.083
50.0,-45.0,-235.0,-0.0,-0.0,180.0,49.61,-44.71,-173.13,-0.009,-0.017,0.568,0.822,0.061
50.0,-45.0,-250.0,-0.0,-0.0,180.0,49.83,-45.08,-158.42,-0.009,-0.016,0.568,0.823,0.048
50.0,-45.0,-265.0,-0.0,-0.0,180.0,50.05,-45.12,-143.97,-0.007,-0.016,0.568,0.823,0.045
50.0,-45.0,-280.0,-0.0,-0.0,180.0,50.22,-45.56,-129.26,-0.006,-0.014,0.568,0.823,0.047
50.0,-45.0,-295.0,-0.0,-0.0,180.0,50.54,-45.5,-114.44,-0.003,-0.013,0.57,0.822,0.052
50.0,-45.0,-310.0,-0.0,-0.0,180.0,50.65,-46.02,-99.86,-0.001,-0.01,0.57,0.821,0.055
50.0,-45.0,-325.0,-0.0,-0.0,180.0,51.02,-46.06,-85.05,0.002,-0.01,0.572,0.82,0.056
50.0,-30.0,-175.0,-0.0,-0.0,180.0,48.13,-29.28,-231.69,-0.009,-0.017,0.56,0.828,0.21
50.0,-30.0,-190.0,-0.0,-0.0,180.0,48.53,-29.25,-217.17,-0.009,-0.018,0.562,0.827,0.154
50.0,-30.0,-205.0,-0.0,-0.0,180.0,48.85,-29.48,-202.64,-0.009,-0.018,0.563,0.826,0.112
50.0,-30.0,-220.0,-0.0,-0.0,180.0,49.21,-29.84,-188.25,-0.009,-0.017,0.563,0.826,0.081
50.0,-30.0,-235.0,-0.0,-0.0,180.0,49.52,-29.85,-173.39,-0.008,-0.018,0.564,0.826,0.055
50.0,-30.0,-250.0,-0.0,-0.0,180.0,49.7,-30.21,-158.66,-0.007,-0.017,0.564,0.826,0.044
50.0,-30.0,-265.0,-0.0,-0.0,180.0,50.0,-30.29,-144.15,-0.006,-0.016,0.565,0.825,0.043
50.0,-30.0,-280.0,-0.0,-0.0,180.0,50.27,-30.44,-129.65,-0.003,-0.015,0.566,0.824,0.048
50.0,-30.0,-295.0,-0.0,-0.0,180.0,50.44,-30.93,-114.61,-0.003,-0.013,0.567,0.824,0.053
50.0,-30.0,-310.0,-0.0,-0.0,180.0,50.69,-30.87,-100.14,0.001,-0.011,0.569,0.822,0.058
50.0,-30.0,-325.0,-0.0,-0.0,180.0,50.88,-31.3,-85.11,0.002,-0.01,0.57,0.821,0.059
50.0,-15.0,-175.0,-0.0,-0.0,180.0,48.12,-14.35,-231.87,-0.008,-0.017,0.558,0.83,0.222
50.0,-15.0,-190.0,-0.0,-0.0,180.0,48.5,-14.68,-217.36,-0.008,-0.018,0.559,0.829,0.166
50.0,-15.0,-205.0,-0.0,-0.0,180.0,48.82,-14.72,-202.82,-0.008,-0.018,0.56,0.828,0.123
50.0,-15.0,-220.0,-0.0,-0.0,180.0,49.09,-15.03,-188.36,-0.008,-0.017,0.561,0.828,0.091
50.0,-15.0,-235.0,-0.0,-0.0,180.0,49.4,-15.02,-173.6,-0.007,-0.018,0.562,0.827,0.064
50.0,-15.0,-250.0,-0.0,-0.0,180.0,49.71,-15.18,-158.93,-0.006,-0.018,0.562,0.827,0.048
50.0,-15.0,-265.0,-0.0,-0.0,180.0,49.96,-15.52,-144.28,-0.005,-0.016,0.563,0.826,0.043
50.0,-15.0,-280.0,-0.0,-0.0,180.0,50.29,-15.53,-129.89,-0.003,-0.015,0.565,0.825,0.045
50.0,-15.0,-295.0,-0.0,-0.0,180.0,50.46,-15.73,-114.8,-0.002,-0.014,0.567,0.824,0.051
50.0,-15.0,-310.0,-0.0,-0.0,180.0,50.67,-16.24,-100.27,0.0,-0.012,0.569,0.822,0.056
50.0,-15.0,-325.0,-0.0,-0.0,180.0,50.85,-16.2,-85.18,0.002,-0.01,0.573,0.82,0.061
50.0,-0.0,-175.0,-0.0,-0.0,180.0,48.08,0.19,-232.01,-0.007,-0.017,0.554,0.832,0.233
50.0,-0.0,-190.0,-0.0,-0.0,180.0,48.46,0.05,-217.58,-0.007,-0.018,0.556,0.831,0.179
50.0,-0.0,-205.0,-0.0,-0.0,180.0,48.76,-0.03,-202.92,-0.008,-0.018,0.557,0.83,0.138
50.0,-0.0,-220.0,-0.0,-0.0,180.0,49.01,-0.22,-188.54,-0.007,-0.017,0.559,0.829,0.104
50.0,-0.0,-235.0,-0.0,-0.0,180.0,49.34,-0.29,-173.79,-0.006,-0.018,0.56,0.828,0.077
50.0,-0.0,-250.0,-0.0,-0.0,180.0,49.66,-0.46,-159.15,-0.006,-0.017,0.561,0.827,0.059
50.0,-0.0,-265.0,-0.0,-0.0,180.0,49.97,-0.86,-144.45,-0.005,-0.016,0.562,0.827,0.048
50.0,-0.0,-280.0,-0.0,-0.0,180.0,50.29,-0.81,-129.86,-0.003,-0.016,0.564,0.826,0.045
50.0,-0.0,-295.0,-0.0,-0.0,180.0,50.51,-1.23,-114.94,-0.003,-0.014,0.564,0.825,0.046
50.0,-0.0,-310.0,-0.0,-0.0,180.0,50.73,-1.23,-100.33,0.0,-0.013,0.567,0.823,0.049
