robot_x,robot_y,robot_z,robot_rx,robot_ry,robot_rz,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
50.0,-75.0,-250.0,-0.0,0.0,180.0,49.08,-73.53,-235.29,0.889,-0.458,-0.02,0.001,0.27
50.0,-75.0,-280.0,-0.0,-0.0,180.0,50.27,-74.12,-205.65,-0.889,0.458,0.019,0.003,0.287
50.0,-75.0,-310.0,-0.0,-0.0,180.0,51.27,-75.29,-176.13,-0.888,0.46,0.02,0.003,0.279
50.0,-75.0,-340.0,-0.0,-0.0,180.0,51.75,-76.4,-146.66,-0.887,0.461,0.022,0.004,0.269
50.0,-75.0,-370.0,-0.0,-0.0,180.0,52.42,-77.65,-117.45,-0.886,0.463,0.025,0.004,0.251
50.0,-75.0,-400.0,-0.0,-0.0,180.0,52.68,-79.24,-88.21,-0.883,0.468,0.029,0.003,0.204
50.0,-45.0,-250.0,-0.0,-0.0,180.0,49.86,-44.25,-235.02,0.889,-0.457,-0.016,0.001,0.18
50.0,-45.0,-280.0,-0.0,-0.0,180.0,50.81,-44.99,-205.27,-0.887,0.461,0.015,0.002,0.165
50.0,-45.0,-310.0,-0.0,-0.0,180.0,51.7,-46.0,-175.93,-0.886,0.463,0.016,0.002,0.143
50.0,-45.0,-340.0,-0.0,-0.0,180.0,52.22,-47.25,-146.61,-0.885,0.465,0.02,0.002,0.123
50.0,-45.0,-370.0,-0.0,-0.0,180.0,52.47,-48.33,-117.13,-0.884,0.467,0.024,0.002,0.113
50.0,-45.0,-400.0,-0.0,-0.0,180.0,53.05,-49.62,-87.73,-0.881,0.471,0.029,0.001,0.088
50.0,-15.0,-250.0,-0.0,-0.0,180.0,50.12,-15.05,-234.87,0.889,-0.457,-0.014,0.001,0.136
50.0,-15.0,-280.0,-0.0,-0.0,180.0,51.1,-15.73,-205.45,-0.887,0.462,0.015,0.001,0.11
50.0,-15.0,-310.0,-0.0,-0.0,180.0,51.61,-16.56,-175.78,-0.886,0.464,0.017,0.003,0.094
50.0,-15.0,-340.0,-0.0,-0.0,180.0,52.05,-17.55,-146.52,-0.885,0.464,0.02,0.004,0.088
50.0,-15.0,-370.0,-0.0,-0.0,180.0,52.4,-18.59,-116.9,-0.887,0.461,0.026,0.004,0.098
50.0,-15.0,-400.0,-0.0,-0.0,180.0,52.89,-19.82,-87.48,-0.886,0.462,0.03,0.004,0.087
50.0,15.0,-250.0,-0.0,-0.0,180.0,50.17,14.11,-235.08,0.889,-0.458,-0.013,0.003,0.136
50.0,15.0,-280.0,-0.0,-0.0,180.0,51.1,13.43,-205.59,0.886,-0.464,-0.014,0.0,0.098
50.0,15.0,-310.0,-0.0,-0.0,180.0,51.58,12.75,-175.72,-0.884,0.468,0.016,0.001,0.082
50.0,15.0,-340.0,-0.0,-0.0,180.0,52.14,12.07,-146.2,-0.882,0.471,0.02,0.003,0.081
50.0,15.0,-370.0,-0.0,-0.0,180.0,52.61,11.05,-116.37,-0.883,0.47,0.023,0.003,0.085
50.0,15.0,-400.0,-0.0,-0.0,180.0,53.06,9.85,-86.9,-0.884,0.467,0.028,0.002,0.092
50.0,45.0,-250.0,-0.0,-0.0,180.0,50.25,43.17,-235.56,0.887,-0.461,-0.014,0.004,0.14
50.0,45.0,-280.0,-0.0,-0.0,180.0,50.95,42.87,-205.57,0.884,-0.466,-0.014,0.001,0.105
50.0,45.0,-310.0,-0.0,-0.0,180.0,51.73,42.06,-175.83,-0.882,0.472,0.016,0.0,0.089
50.0,45.0,-340.0,-0.0,-0.0,180.0,52.35,41.3,-146.07,-0.879,0.477,0.019,0.002,0.088
50.0,45.0,-370.0,-0.0,-0.0,180.0,52.89,40.21,-115.96,-0.877,0.48,0.021,0.002,0.078
50.0,45.0,-400.0,-0.0,-0.0,180.0,53.42,38.9,-86.2,-0.878,0.478,0.025,0.001,0.079
50.0,75.0,-250.0,-0.0,-0.0,180.0,50.28,72.67,-235.88,0.886,-0.462,-0.014,0.005,0.148
50.0,75.0,-280.0,-0.0,-0.0,180.0,51.12,72.11,-205.82,0.884,-0.468,-0.016,0.001,0.109
50.0,75.0,-310.0,-0.0,-0.0,180.0,51.79,71.45,-175.72,-0.881,0.473,0.017,0.0,0.093
50.0,75.0,-340.0,-0.0,-0.0,180.0,52.29,70.71,-145.68,-0.878,0.479,0.019,0.002,0.087
