robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
250.0,-50.0,75.0,-180.0,0.0,-0.0,51.16,-54.3,-190.74,0.521,0.852,-0.007,0.044,0.132
250.0,-50.0,85.0,-180.0,-0.0,-0.0,41.64,-54.46,-191.14,0.521,0.852,-0.006,0.044,0.122
250.0,-50.0,95.0,-180.0,-0.0,-0.0,31.91,-54.61,-191.1,0.521,0.852,-0.006,0.046,0.11
250.0,-50.0,105.0,-180.0,-0.0,-0.0,22.27,-54.78,-191.21,0.52,0.852,-0.005,0.047,0.101
250.0,-50.0,115.0,-180.0,-0.0,-0.0,12.65,-54.65,-191.25,0.518,0.854,-0.003,0.047,0.099
250.0,-50.0,125.0,-180.0,-0.0,-0.0,2.89,-55.03,-191.59,0.516,0.855,-0.004,0.048,0.101
250.0,-50.0,135.0,-180.0,0.0,-0.0,-6.74,-54.86,-191.74,0.512,0.858,-0.003,0.049,0.113
250.0,-50.0,145.0,-180.0,-0.0,-0.0,-16.59,-55.24,-191.83,0.508,0.86,-0.004,0.05,0.131
250.0,-50.0,155.0,-180.0,0.0,-0.0,-26.5,-55.53,-192.18,0.504,0.862,-0.004,0.049,0.149
250.0,-50.0,165.0,-180.0,-0.0,-0.0,-36.47,-55.62,-192.21,0.501,0.864,-0.004,0.049,0.165
250.0,-50.0,175.0,-180.0,-0.0,-0.0,-46.4,-55.95,-192.5,0.5,0.865,-0.006,0.049,0.175
250.0,-40.0,75.0,-180.0,-0.0,-0.0,51.33,-44.49,-191.23,0.522,0.852,-0.007,0.044,0.114
250.0,-40.0,85.0,-180.0,-0.0,-0.0,41.72,-44.54,-191.57,0.522,0.852,-0.006,0.044,0.107
250.0,-40.0,95.0,-180.0,-0.0,-0.0,31.91,-44.77,-191.46,0.521,0.852,-0.006,0.046,0.099
250.0,-40.0,105.0,-180.0,-0.0,-0.0,22.32,-44.77,-191.63,0.521,0.852,-0.005,0.046,0.094
250.0,-40.0,115.0,-180.0,-0.0,-0.0,12.6,-45.04,-191.7,0.52,0.853,-0.005,0.048,0.093
250.0,-40.0,125.0,-180.0,-0.0,-0.0,2.93,-45.02,-191.98,0.517,0.854,-0.004,0.048,0.098
250.0,-40.0,135.0,-180.0,0.0,-0.0,-6.88,-45.18,-192.05,0.515,0.856,-0.004,0.049,0.107
250.0,-40.0,145.0,-180.0,0.0,-0.0,-16.54,-45.32,-192.14,0.511,0.858,-0.003,0.049,0.123
250.0,-40.0,155.0,-180.0,-0.0,-0.0,-26.47,-45.56,-192.54,0.506,0.861,-0.004,0.049,0.144
250.0,-40.0,165.0,-180.0,0.0,-0.0,-36.34,-45.91,-192.62,0.502,0.863,-0.005,0.05,0.162
250.0,-40.0,175.0,-180.0,-0.0,-0.0,-46.36,-45.97,-192.88,0.499,0.865,-0.006,0.05,0.178
250.0,-30.0,75.0,-180.0,0.0,-0.0,51.29,-34.7,-191.55,0.522,0.852,-0.007,0.044,0.106
