robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
275.0,-25.0,100.0,180.0,-0.0,-0.0,26.73,-18.19,-155.82,-0.822,0.568,-0.004,0.013,0.037
275.0,-25.0,112.5,-180.0,0.0,-0.0,14.35,-18.48,-155.87,-0.822,0.569,-0.005,0.014,0.035
275.0,-25.0,125.0,-180.0,0.0,-0.0,2.1,-18.69,-156.28,-0.822,0.569,-0.005,0.013,0.039
275.0,-25.0,137.5,-180.0,0.0,-0.0,-10.18,-18.53,-156.11,-0.824,0.567,-0.005,0.014,0.047
275.0,-25.0,150.0,-180.0,0.0,-0.0,-22.39,-18.66,-156.61,-0.826,0.564,-0.005,0.014,0.059
275.0,-12.5,100.0,-180.0,0.0,-0.0,26.56,-5.97,-155.83,-0.822,0.569,-0.004,0.013,0.046
275.0,-12.5,112.5,-180.0,0.0,-0.0,14.33,-5.91,-156.09,-0.822,0.569,-0.004,0.013,0.047
275.0,-12.5,125.0,-180.0,-0.0,-0.0,1.97,-6.18,-156.37,-0.822,0.569,-0.004,0.013,0.051
275.0,-12.5,137.5,-180.0,0.0,-0.0,-10.29,-6.32,-156.23,-0.823,0.568,-0.005,0.013,0.058
275.0,-12.5,150.0,-180.0,-0.0,-0.0,-22.52,-6.61,-156.62,-0.824,0.566,-0.005,0.013,0.069
275.0,-0.0,100.0,-180.0,-0.0,-0.0,26.5,6.25,-155.91,-0.821,0.57,-0.004,0.013,0.056
275.0,-0.0,112.5,-180.0,0.0,-0.0,14.26,6.27,-156.23,-0.821,0.57,-0.004,0.013,0.057
275.0,-0.0,125.0,-180.0,-0.0,-0.0,1.9,6.06,-156.42,-0.822,0.57,-0.005,0.012,0.063
275.0,-0.0,137.5,-180.0,0.0,-0.0,-10.36,5.76,-156.31,-0.822,0.569,-0.005,0.012,0.071
275.0,-0.0,150.0,-180.0,0.0,-0.0,-22.57,5.71,-156.69,-0.823,0.568,-0.005,0.013,0.083
275.0,12.5,100.0,-180.0,-0.0,-0.0,26.47,18.62,-156.05,-0.821,0.571,-0.004,0.012,0.065
275.0,12.5,112.5,-180.0,-0.0,-0.0,14.21,18.65,-156.3,-0.821,0.57,-0.004,0.012,0.068
275.0,12.5,125.0,-180.0,-0.0,-0.0,1.87,18.36,-156.56,-0.821,0.57,-0.005,0.011,0.073
275.0,12.5,137.5,-180.0,-0.0,-0.0,-10.4,18.01,-156.44,-0.821,0.57,-0.006,0.011,0.082
275.0,12.5,150.0,-180.0,-0.0,-0.0,-22.63,17.95,-156.79,-0.822,0.569,-0.006,0.011,0.095
275.0,25.0,100.0,-180.0,0.0,-0.0,26.46,30.81,-156.14,-0.82,0.572,-0.004,0.011,0.073
275.0,25.0,112.5,-180.0,-0.0,-0.0,14.18,30.84,-156.47,-0.821,0.571,-0.004,0.011,0.075
275.0,25.0,125.0,-180.0,0.0,-0.0,1.85,30.41,-156.67,-0.821,0.571,-0.004,0.011,0.082
275.0,25.0,137.5,-180.0,0.0,-0.0,-10.41,30.55,-156.56,-0.821,0.57,-0.005,0.012,0.091
275.0,25.0,150.0,-180.0,0.0,-0.0,-22.59,30.1,-156.97,-0.821,0.571,-0.006,0.01,0.103
287.5,-25.0,100.0,-180.0,0.0,-0.0,26.57,-18.53,-143.45,-0.822,0.57,-0.004,0.012,0.028
287.5,-25.0,112.5,-180.0,0.0,-0.0,14.3,-18.51,-143.62,-0.822,0.57,-0.003,0.013,0.028
287.5,-25.0,125.0,-180.0,-0.0,-0.0,1.87,-18.85,-143.93,-0.822,0.569,-0.003,0.012,0.033
287.5,-25.0,137.5,-180.0,-0.0,-0.0,-10.42,-18.85,-143.83,-0.823,0.568,-0.004,0.013,0.042
287.5,-25.0,150.0,-180.0,-0.0,-0.0,-22.66,-18.96,-144.25,-0.825,0.564,-0.004,0.012,0.055
287.5,-12.5,100.0,-180.0,-0.0,-0.0,26.51,-6.18,-143.5,-0.821,0.57,-0.002,0.013,0.04
287.5,-12.5,112.5,-180.0,0.0,-0.0,14.31,-6.12,-143.77,-0.822,0.57,-0.002,0.013,0.042
287.5,-12.5,125.0,-180.0,-0.0,-0.0,1.77,-6.51,-143.99,-0.822,0.57,-0.003,0.012,0.047
287.5,-12.5,137.5,-180.0,-0.0,-0.0,-10.51,-6.57,-143.92,-0.823,0.568,-0.003,0.013,0.054
287.5,-12.5,150.0,-180.0,0.0,-0.0,-22.73,-6.74,-144.28,-0.825,0.565,-0.003,0.013,0.066
287.5,-0.0,100.0,-180.0,-0.0,-0.0,26.45,6.12,-143.57,-0.82,0.571,-0.002,0.013,0.052
287.5,-0.0,112.5,-180.0,0.0,-0.0,14.25,6.0,-143.88,-0.821,0.571,-0.003,0.012,0.054
287.5,-0.0,125.0,-180.0,0.0,-0.0,1.74,5.77,-144.11,-0.821,0.57,-0.003,0.011,0.06
287.5,-0.0,137.5,-180.0,-0.0,-0.0,-10.65,5.68,-143.97,-0.822,0.569,-0.004,0.011,0.068
287.5,-0.0,150.0,-180.0,-0.0,-0.0,-22.81,5.44,-144.36,-0.824,0.567,-0.004,0.011,0.08
287.5,12.5,100.0,-180.0,0.0,-0.0,26.4,18.49,-143.64,-0.82,0.572,-0.003,0.012,0.064
287.5,12.5,112.5,-180.0,0.0,-0.0,14.22,18.39,-144.01,-0.82,0.572,-0.003,0.011,0.066
287.5,12.5,125.0,-180.0,-0.0,-0.0,1.65,18.23,-144.16,-0.821,0.571,-0.003,0.011,0.071
287.5,12.5,137.5,-180.0,0.0,-0.0,-10.64,17.98,-144.1,-0.822,0.57,-0.004,0.011,0.081
287.5,12.5,150.0,-180.0,0.0,-0.0,-22.85,17.94,-144.45,-0.823,0.568,-0.004,0.011,0.094
287.5,25.0,100.0,-180.0,-0.0,-0.0,26.33,30.7,-143.74,-0.82,0.573,-0.003,0.011,0.073
287.5,25.0,112.5,-180.0,-0.0,-0.0,14.14,30.73,-144.11,-0.82,0.572,-0.002,0.012,0.075
287.5,25.0,125.0,-180.0,-0.0,-0.0,1.64,30.34,-144.27,-0.82,0.572,-0.003,0.011,0.081
287.5,25.0,137.5,-180.0,0.0,-0.0,-10.66,30.3,-144.18,-0.821,0.57,-0.004,0.01,0.091
287.5,25.0,150.0,-180.0,-0.0,-0.0,-22.88,29.94,-144.54,-0.821,0.57,-0.004,0.01,0.104
300.0,-25.0,100.0,-180.0,0.0,-0.0,26.6,-18.68,-131.26,-0.822,0.57,-0.002,0.012,0.025
