robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
275.0,-25.0,100.0,-128.923,0.0,-0.0,25.67,-20.16,-153.56,-0.991,0.132,-0.002,0.015,0.157
275.0,-25.0,125.0,-128.923,0.0,-0.0,1.11,-20.25,-154.1,-0.992,0.128,-0.003,0.015,0.181
275.0,-25.0,150.0,-128.923,0.0,-0.0,-23.83,-20.38,-154.77,-0.992,0.124,-0.004,0.014,0.222
275.0,-0.0,100.0,-128.923,0.0,-0.0,25.58,5.08,-153.79,-0.99,0.14,-0.002,0.015,0.145
275.0,-0.0,125.0,-128.923,-0.0,-0.0,0.71,5.01,-154.13,-0.99,0.136,-0.002,0.014,0.175
275.0,-0.0,150.0,-128.923,-0.0,-0.0,-23.99,4.83,-154.56,-0.991,0.131,-0.004,0.014,0.234
275.0,25.0,100.0,-128.923,0.0,-0.0,25.37,29.88,-153.58,-0.988,0.15,-0.001,0.014,0.147
275.0,25.0,125.0,-128.923,-0.0,-0.0,0.65,29.85,-153.86,-0.989,0.148,-0.003,0.013,0.184
275.0,25.0,150.0,-128.923,0.0,-0.0,-24.15,29.63,-154.56,-0.989,0.149,-0.004,0.012,0.235
300.0,-25.0,100.0,-128.923,-0.0,-0.0,25.76,-20.83,-129.05,-0.99,0.138,0.0,0.015,0.122
300.0,-25.0,125.0,-128.923,-0.0,0.0,0.84,-20.88,-129.66,-0.991,0.134,-0.0,0.013,0.13
300.0,-25.0,150.0,-128.923,0.0,-0.0,-24.11,-21.18,-129.93,-0.992,0.124,-0.0,0.015,0.193
300.0,-0.0,100.0,-128.923,0.0,-0.0,25.53,4.41,-129.08,-0.989,0.144,0.0,0.016,0.102
300.0,-0.0,125.0,-128.923,0.0,-0.0,0.32,4.2,-129.53,-0.99,0.141,0.0,0.014,0.134
300.0,0.0,150.0,-128.923,0.0,-0.0,-24.45,4.23,-129.83,-0.991,0.135,0.0,0.014,0.181
300.0,25.0,100.0,-128.923,-0.0,-0.0,25.24,29.65,-129.16,-0.988,0.153,0.001,0.015,0.101
300.0,25.0,125.0,-128.923,0.0,-0.0,0.46,29.57,-129.26,-0.988,0.151,0.0,0.014,0.133
300.0,25.0,150.0,-128.923,0.0,-0.0,-24.59,29.26,-129.58,-0.988,0.151,0.0,0.013,0.182
325.0,-25.0,100.0,-128.923,-0.0,-0.0,25.45,-21.14,-104.44,-0.99,0.141,0.004,0.014,0.11
325.0,-25.0,125.0,-128.923,0.0,-0.0,0.77,-21.46,-105.04,-0.99,0.142,0.004,0.012,0.086
325.0,-25.0,150.0,-128.923,0.0,-0.0,-24.34,-21.74,-105.08,-0.991,0.134,0.003,0.014,0.136
325.0,-0.0,100.0,-128.923,0.0,-0.0,25.3,4.08,-104.48,-0.989,0.147,0.002,0.015,0.075
325.0,-0.0,125.0,-128.923,-0.0,-0.0,0.54,3.84,-104.77,-0.989,0.146,0.004,0.014,0.083
325.0,-0.0,150.0,-128.923,-0.0,-0.0,-24.65,3.73,-105.09,-0.989,0.144,0.004,0.013,0.128
325.0,25.0,100.0,-128.923,-0.0,-0.0,25.18,29.03,-104.41,-0.988,0.154,0.003,0.013,0.07
325.0,25.0,125.0,-128.923,0.0,-0.0,0.28,29.13,-104.78,-0.988,0.152,0.004,0.014,0.092
325.0,25.0,150.0,-128.923,-0.0,-0.0,-24.79,28.86,-104.77,-0.988,0.154,0.003,0.014,0.132
