robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
275.0,-25.0,100.0,-180.0,-0.0,-63.676,23.3,-19.43,-157.77,-0.683,0.49,0.323,0.435,0.081
275.0,-25.0,125.0,-180.0,-0.0,-63.676,-0.55,-20.16,-157.86,-0.688,0.486,0.315,0.438,0.042
275.0,-25.0,150.0,-180.0,0.0,-63.676,-24.58,-20.7,-158.02,-0.69,0.484,0.31,0.439,0.075
275.0,-0.0,100.0,-180.0,-0.0,-63.676,24.11,4.61,-158.09,-0.693,0.476,0.308,0.444,0.195
275.0,-0.0,125.0,-180.0,-0.0,-63.676,0.03,4.28,-158.52,-0.695,0.476,0.304,0.444,0.238
275.0,-0.0,150.0,-180.0,-0.0,-63.676,-24.59,3.81,-158.54,-0.694,0.48,0.306,0.442,0.207
275.0,25.0,100.0,-180.0,0.0,-63.676,25.33,28.96,-158.34,-0.701,0.466,0.298,0.449,0.253
275.0,25.0,125.0,-180.0,0.0,-63.676,0.88,28.71,-159.09,-0.699,0.47,0.3,0.448,0.234
275.0,25.0,150.0,-180.0,-0.0,-63.676,-24.33,28.24,-159.34,-0.696,0.476,0.303,0.444,0.178
300.0,-25.0,100.0,-180.0,0.0,-63.676,23.56,-20.05,-133.19,-0.679,0.495,0.329,0.431,0.166
300.0,-25.0,125.0,-180.0,0.0,-63.676,-0.4,-20.49,-133.09,-0.686,0.489,0.319,0.435,0.066
300.0,-25.0,150.0,-180.0,0.0,-63.676,-24.61,-21.1,-133.07,-0.69,0.484,0.312,0.438,0.052
300.0,-0.0,100.0,-180.0,-0.0,-63.676,24.45,4.07,-133.43,-0.692,0.478,0.311,0.442,0.165
300.0,-0.0,125.0,-180.0,0.0,-63.676,0.6,3.81,-133.91,-0.696,0.474,0.304,0.445,0.258
300.0,-0.0,150.0,-180.0,0.0,-63.676,-24.39,3.43,-133.73,-0.694,0.478,0.306,0.443,0.225
300.0,25.0,100.0,-180.0,0.0,-63.676,25.5,28.38,-133.6,-0.7,0.467,0.3,0.448,0.223
300.0,25.0,125.0,-180.0,-0.0,-63.676,1.2,28.3,-134.2,-0.7,0.469,0.301,0.447,0.233
300.0,25.0,150.0,-180.0,0.0,-63.676,-23.9,27.9,-134.51,-0.696,0.476,0.304,0.443,0.157
325.0,-25.0,100.0,-180.0,0.0,-63.676,23.86,-20.62,-108.16,-0.68,0.493,0.329,0.432,0.169
325.0,-25.0,125.0,-180.0,-0.0,-63.676,-0.25,-20.87,-108.29,-0.682,0.491,0.325,0.433,0.201
325.0,-25.0,150.0,-180.0,0.0,-63.676,-24.67,-21.55,-108.38,-0.689,0.486,0.315,0.437,0.04
325.0,-0.0,100.0,-180.0,-0.0,-63.676,24.76,3.36,-108.39,-0.69,0.482,0.314,0.439,0.095
325.0,-0.0,125.0,-180.0,0.0,-63.676,1.06,3.22,-109.12,-0.696,0.475,0.305,0.444,0.226
325.0,-0.0,150.0,-180.0,-0.0,-63.676,-24.16,2.76,-109.21,-0.694,0.479,0.306,0.442,0.219
325.0,25.0,100.0,-180.0,-0.0,-63.676,25.45,27.92,-108.65,-0.698,0.472,0.304,0.444,0.154
325.0,25.0,125.0,-180.0,-0.0,-63.676,1.43,27.92,-109.33,-0.698,0.471,0.303,0.446,0.198
325.0,25.0,150.0,-180.0,-0.0,-63.676,-23.68,27.58,-109.73,-0.694,0.477,0.307,0.443,0.126
