robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
75.0,-50.0,-250.0,0.0,0.0,-180.0,51.99,-48.07,-203.06,-0.839,0.543,0.001,0.017,0.132
75.0,-50.0,-270.0,0.0,0.0,180.0,51.94,-48.88,-183.26,-0.839,0.544,0.001,0.018,0.118
75.0,-50.0,-290.0,0.0,0.0,180.0,52.04,-49.31,-163.92,-0.839,0.544,0.003,0.018,0.108
75.0,-50.0,-310.0,0.0,0.0,180.0,52.02,-49.85,-144.15,-0.84,0.543,0.005,0.019,0.1
75.0,-50.0,-330.0,0.0,0.0,180.0,51.76,-50.61,-124.59,-0.839,0.543,0.008,0.02,0.089
75.0,-50.0,-350.0,0.0,0.0,180.0,51.75,-51.4,-104.87,-0.839,0.544,0.01,0.019,0.08
75.0,-30.0,-250.0,0.0,0.0,180.0,51.85,-28.64,-202.87,-0.839,0.544,-0.001,0.016,0.09
75.0,-30.0,-270.0,0.0,0.0,180.0,52.06,-28.93,-183.32,-0.838,0.544,0.001,0.019,0.08
75.0,-30.0,-290.0,0.0,0.0,180.0,52.18,-29.49,-163.85,-0.839,0.544,0.003,0.019,0.076
75.0,-30.0,-310.0,0.0,0.0,180.0,51.9,-30.29,-144.08,-0.839,0.543,0.005,0.019,0.072
75.0,-30.0,-330.0,0.0,0.0,180.0,51.94,-30.77,-124.46,-0.84,0.542,0.008,0.02,0.066
75.0,-30.0,-350.0,0.0,0.0,180.0,51.82,-31.58,-104.54,-0.84,0.542,0.01,0.019,0.062
75.0,-10.0,-250.0,0.0,0.0,180.0,51.92,-8.98,-202.92,-0.838,0.545,-0.001,0.016,0.071
75.0,-10.0,-270.0,0.0,0.0,180.0,52.15,-9.31,-183.43,-0.838,0.546,0.001,0.018,0.068
75.0,-10.0,-290.0,0.0,0.0,180.0,52.13,-9.82,-163.75,-0.838,0.546,0.003,0.019,0.065
75.0,-10.0,-310.0,0.0,0.0,180.0,51.99,-10.46,-143.85,-0.838,0.544,0.005,0.02,0.068
75.0,-10.0,-330.0,0.0,0.0,180.0,51.98,-11.09,-124.23,-0.84,0.542,0.008,0.02,0.069
75.0,-10.0,-350.0,0.0,0.0,180.0,51.78,-11.58,-104.25,-0.841,0.54,0.01,0.02,0.069
75.0,10.0,-250.0,0.0,0.0,180.0,51.91,10.59,-202.97,-0.838,0.546,-0.001,0.015,0.069
75.0,10.0,-270.0,0.0,0.0,180.0,52.12,10.34,-183.35,-0.837,0.547,0.0,0.016,0.065
75.0,10.0,-290.0,0.0,0.0,180.0,52.11,9.77,-163.62,-0.836,0.548,0.002,0.017,0.066
75.0,10.0,-310.0,0.0,0.0,180.0,52.02,9.2,-143.63,-0.836,0.549,0.004,0.018,0.071
75.0,10.0,-330.0,0.0,0.0,180.0,52.09,8.77,-123.92,-0.836,0.548,0.007,0.019,0.073
75.0,10.0,-350.0,0.0,0.0,180.0,51.9,7.94,-103.88,-0.837,0.547,0.008,0.019,0.069
75.0,30.0,-250.0,0.0,0.0,180.0,51.81,30.0,-203.06,-0.837,0.547,-0.002,0.013,0.067
