robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
275.0,-25.0,100.0,136.541,0.0,-0.0,27.39,-19.68,-156.61,-0.529,0.848,-0.008,0.015,0.13
275.0,-25.0,125.0,136.541,-0.0,-0.0,3.11,-19.41,-157.45,-0.53,0.848,-0.006,0.016,0.152
275.0,-25.0,150.0,136.541,-0.0,-0.0,-21.72,-19.37,-157.66,-0.53,0.848,-0.006,0.017,0.168
275.0,0.0,100.0,136.541,-0.0,-0.0,27.23,4.92,-156.75,-0.53,0.848,-0.006,0.015,0.121
275.0,-0.0,125.0,136.541,-0.0,-0.0,2.69,5.01,-157.33,-0.53,0.848,-0.005,0.015,0.136
275.0,-0.0,150.0,136.541,-0.0,-0.0,-21.81,5.16,-157.28,-0.529,0.848,-0.006,0.018,0.165
275.0,25.0,100.0,136.541,-0.0,-0.0,27.17,29.65,-156.59,-0.529,0.848,-0.005,0.015,0.113
275.0,25.0,125.0,136.541,-0.0,-0.0,2.74,29.64,-157.13,-0.528,0.849,-0.005,0.014,0.126
275.0,25.0,150.0,136.541,-0.0,-0.0,-21.98,29.61,-157.3,-0.524,0.851,-0.006,0.018,0.16
300.0,-25.0,100.0,136.541,0.0,-0.0,27.3,-19.88,-131.96,-0.534,0.846,-0.005,0.013,0.089
300.0,-25.0,125.0,136.541,-0.0,-0.0,2.78,-19.67,-132.61,-0.536,0.844,-0.003,0.015,0.103
300.0,-25.0,150.0,136.541,-0.0,-0.0,-22.01,-19.55,-132.49,-0.536,0.844,-0.004,0.015,0.124
300.0,-0.0,100.0,136.541,-0.0,-0.0,27.21,5.07,-131.8,-0.535,0.845,-0.004,0.015,0.089
300.0,-0.0,125.0,136.541,0.0,-0.0,2.5,4.89,-132.44,-0.536,0.844,-0.003,0.014,0.092
300.0,-0.0,150.0,136.541,-0.0,-0.0,-22.3,4.9,-132.47,-0.536,0.844,-0.004,0.014,0.109
300.0,25.0,100.0,136.541,0.0,-0.0,27.03,29.52,-131.9,-0.534,0.845,-0.003,0.015,0.094
300.0,25.0,125.0,136.541,-0.0,-0.0,2.45,29.56,-132.08,-0.534,0.845,-0.003,0.014,0.09
300.0,25.0,150.0,136.541,-0.0,-0.0,-22.27,29.62,-132.24,-0.533,0.846,-0.003,0.014,0.109
325.0,-25.0,100.0,136.541,-0.0,-0.0,27.14,-20.08,-106.96,-0.537,0.843,-0.001,0.013,0.064
325.0,-25.0,125.0,136.541,0.0,-0.0,2.69,-19.97,-107.61,-0.54,0.841,-0.002,0.012,0.075
325.0,-25.0,150.0,136.541,-0.0,-0.0,-22.25,-19.88,-107.32,-0.541,0.841,-0.003,0.012,0.09
325.0,-0.0,100.0,136.541,0.0,-0.0,27.2,4.79,-106.88,-0.539,0.842,-0.001,0.015,0.074
325.0,-0.0,125.0,136.541,0.0,-0.0,2.49,4.78,-107.4,-0.54,0.841,-0.001,0.012,0.072
325.0,-0.0,150.0,136.541,0.0,-0.0,-22.62,4.64,-107.37,-0.54,0.842,-0.002,0.012,0.081
325.0,25.0,100.0,136.541,0.0,-0.0,27.24,29.33,-106.83,-0.539,0.842,-0.0,0.014,0.077
325.0,25.0,125.0,136.541,-0.0,-0.0,2.33,29.28,-107.37,-0.538,0.843,-0.0,0.012,0.072
325.0,25.0,150.0,136.541,-0.0,-0.0,-22.8,29.32,-107.16,-0.537,0.843,-0.001,0.013,0.08
