robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
275.0,-25.0,100.0,180.0,-0.0,-0.0,26.31,-16.79,-152.18,-0.847,0.532,-0.004,0.003,0.037
275.0,-25.0,125.0,-180.0,0.0,-0.0,1.72,-17.1,-152.7,-0.847,0.532,-0.003,0.003,0.044
275.0,-25.0,150.0,-180.0,0.0,-0.0,-22.84,-17.31,-152.95,-0.849,0.528,-0.004,0.003,0.068
275.0,-0.0,100.0,-180.0,-0.0,-0.0,26.13,7.65,-152.26,-0.845,0.534,-0.003,0.003,0.056
275.0,-0.0,125.0,-180.0,0.0,-0.0,1.62,7.57,-152.86,-0.846,0.534,-0.003,0.002,0.066
275.0,-0.0,150.0,-180.0,-0.0,-0.0,-22.98,7.25,-152.97,-0.846,0.532,-0.004,0.002,0.088
275.0,25.0,100.0,-180.0,0.0,-0.0,26.13,32.24,-152.5,-0.844,0.536,-0.003,0.001,0.072
275.0,25.0,125.0,-180.0,-0.0,-0.0,1.6,32.07,-153.03,-0.845,0.535,-0.002,0.002,0.083
275.0,25.0,150.0,-180.0,-0.0,-0.0,-22.98,31.58,-153.17,-0.844,0.537,-0.004,0.001,0.102
300.0,-25.0,100.0,-180.0,0.0,-0.0,26.21,-17.35,-127.6,-0.846,0.532,-0.001,0.002,0.036
300.0,-25.0,125.0,-180.0,-0.0,-0.0,1.46,-17.47,-127.96,-0.846,0.534,-0.0,0.002,0.038
300.0,-25.0,150.0,-180.0,-0.0,-0.0,-23.21,-17.91,-128.01,-0.847,0.531,-0.001,0.002,0.056
300.0,-0.0,100.0,-180.0,0.0,-0.0,26.1,7.27,-127.6,-0.844,0.536,0.0,0.004,0.051
300.0,-0.0,125.0,-180.0,0.0,-0.0,1.44,7.15,-128.1,-0.845,0.535,-0.0,0.001,0.057
300.0,-0.0,150.0,-180.0,-0.0,-0.0,-23.35,6.82,-128.12,-0.846,0.534,-0.001,0.001,0.076
300.0,25.0,100.0,-180.0,-0.0,-0.0,26.01,31.85,-127.63,-0.843,0.538,-0.001,0.002,0.068
300.0,25.0,125.0,-180.0,-0.0,-0.0,1.33,31.75,-128.11,-0.844,0.537,0.0,0.002,0.074
300.0,25.0,150.0,-180.0,-0.0,-0.0,-23.38,31.22,-128.1,-0.843,0.537,-0.001,0.0,0.093
325.0,-25.0,100.0,-180.0,-0.0,-0.0,26.0,-17.91,-102.73,-0.848,0.53,0.003,0.002,0.05
325.0,-25.0,125.0,-180.0,-0.0,-0.0,1.31,-18.15,-103.02,-0.844,0.535,0.002,0.002,0.041
325.0,-25.0,150.0,-180.0,0.0,-0.0,-23.51,-18.44,-103.17,-0.845,0.534,0.002,0.001,0.052
325.0,-0.0,100.0,-180.0,-0.0,-0.0,25.92,6.69,-102.75,-0.843,0.538,0.002,0.003,0.05
325.0,-0.0,125.0,-180.0,-0.0,-0.0,1.25,6.69,-103.03,-0.844,0.537,0.002,0.001,0.052
325.0,-0.0,150.0,-180.0,-0.0,-0.0,-23.76,6.34,-103.15,-0.844,0.536,0.003,0.001,0.068
325.0,25.0,100.0,-180.0,-0.0,-0.0,25.89,31.32,-102.7,-0.842,0.54,0.001,0.001,0.062
325.0,25.0,125.0,-180.0,-0.0,-0.0,1.19,31.27,-103.06,-0.843,0.538,0.002,0.001,0.064
325.0,25.0,150.0,-180.0,-0.0,-0.0,-23.7,30.99,-103.17,-0.844,0.537,0.002,0.0,0.074
