robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w
250.0,-50.0,75.0,180,0,0,70.71068,-141.42136,75.0,-0.70711,0.70711,0.0,-0.0
250.0,-50.0,85.0,180,0,0,70.71068,-141.42136,85.0,-0.70711,0.70711,0.0,-0.0
250.0,-50.0,95.0,180,0,0,70.71068,-141.42136,95.0,-0.70711,0.70711,0.0,-0.0
250.0,-50.0,105.0,180,0,0,70.71068,-141.42136,105.0,-0.70711,0.70711,0.0,-0.0
250.0,-50.0,115.0,180,0,0,70.71068,-141.42136,115.0,-0.70711,0.70711,0.0,-0.0
250.0,-50.0,125.0,180,0,0,70.71068,-141.42136,125.0,-0.70711,0.70711,0.0,-0.0
250.0,-50.0,135.0,180,0,0,70.71068,-141.42136,135.0,-0.70711,0.70711,0.0,-0.0
250.0,-50.0,145.0,180,0,0,70.71068,-141.42136,145.0,-0.70711,0.70711,0.0,-0.0
250.0,-50.0,155.0,180,0,0,70.71068,-141.42136,155.0,-0.70711,0.70711,0.0,-0.0
250.0,-50.0,165.0,180,0,0,70.71068,-141.42136,165.0,-0.70711,0.70711,0.0,-0.0
250.0,-50.0,175.0,180,0,0,70.71068,-141.42136,175.0,-0.70711,0.70711,0.0,-0.0
250.0,-40.0,75.0,180,0,0,77.78175,-134.35029,75.0,-0.70711,0.70711,0.0,-0.0
250.0,-40.0,85.0,180,0,0,77.78175,-134.35029,85.0,-0.70711,0.70711,0.0,-0.0
250.0,-40.0,95.0,180,0,0,77.78175,-134.35029,95.0,-0.70711,0.70711,0.0,-0.0
250.0,-40.0,105.0,180,0,0,77.78175,-134.35029,105.0,-0.70711,0.70711,0.0,-0.0
250.0,-40.0,115.0,180,0,0,77.78175,-134.35029,115.0,-0.70711,0.70711,0.0,-0.0
250.0,-40.0,125.0,180,0,0,77.78175,-134.35029,125.0,-0.70711,0.70711,0.0,-0.0
250.0,-40.0,135.0,180,0,0,77.78175,-134.35029,135.0,-0.70711,0.70711,0.0,-0.0
250.0,-40.0,145.0,180,0,0,77.78175,-134.35029,145.0,-0.70711,0.70711,0.0,-0.0
250.0,-40.0,155.0,180,0,0,77.78175,-134.35029,155.0,-0.70711,0.70711,0.0,-0.0
250.0,-40.0,165.0,180,0,0,77.78175,-134.35029,165.0,-0.70711,0.70711,0.0,-0.0
250.0,-40.0,175.0,180,0,0,77.78175,-134.35029,175.0,-0.70711,0.70711,0.0,-0.0
250.0,-30.0,75.0,180,0,0,84.85281,-127.27922,75.0,-0.70711,0.70711,0.0,-0.0
250.0,-30.0,85.0,180,0,0,84.85281,-127.27922,85.0,-0.70711,0.70711,0.0,-0.0
250.0,-30.0,95.0,180,0,0,84.85281,-127.27922,95.0,-0.70711,0.70711,0.0,-0.0
250.0,-30.0,105.0,180,0,0,84.85281,-127.27922,105.0,-0.70711,0.70711,0.0,-0.0
250.0,-30.0,115.0,180,0,0,84.85281,-127.27922,115.0,-0.70711,0.70711,0.0,-0.0
250.0,-30.0,125.0,180,0,0,84.85281,-127.27922,125.0,-0.70711,0.70711,0.0,-0.0
250.0,-30.0,135.0,180,0,0,84.85281,-127.27922,135.0,-0.70711,0.70711,0.0,-0.0
250.0,-30.0,145.0,180,0,0,84.85281,-127.27922,145.0,-0.70711,0.70711,0.0,-0.0
250.0,-30.0,155.0,180,0,0,84.85281,-127.27922,155.0,-0.70711,0.70711,0.0,-0.0
250.0,-30.0,165.0,180,0,0,84.85281,-127.27922,165.0,-0.70711,0.70711,0.0,-0.0
250.0,-30.0,175.0,180,0,0,84.85281,-127.27922,175.0,-0.70711,0.70711,0.0,-0.0
250.0,-20.0,75.0,180,0,0,91.92388,-120.20815,75.0,-0.70711,0.70711,0.0,-0.0
250.0,-20.0,85.0,180,0,0,91.92388,-120.20815,85.0,-0.70711,0.70711,0.0,-0.0
250.0,-20.0,95.0,180,0,0,91.92388,-120.20815,95.0,-0.70711,0.70711,0.0,-0.0
250.0,-20.0,105.0,180,0,0,91.92388,-120.20815,105.0,-0.70711,0.70711,0.0,-0.0
250.0,-20.0,115.0,180,0,0,91.92388,-120.20815,115.0,-0.70711,0.70711,0.0,-0.0
250.0,-20.0,125.0,180,0,0,91.92388,-120.20815,125.0,-0.70711,0.70711,0.0,-0.0
250.0,-20.0,135.0,180,0,0,91.92388,-120.20815,135.0,-0.70711,0.70711,0.0,-0.0
250.0,-20.0,145.0,180,0,0,91.92388,-120.20815,145.0,-0.70711,0.70711,0.0,-0.0
250.0,-20.0,155.0,180,0,0,91.92388,-120.20815,155.0,-0.70711,0.70711,0.0,-0.0
250.0,-20.0,165.0,180,0,0,91.92388,-120.20815,165.0,-0.70711,0.70711,0.0,-0.0
250.0,-20.0,175.0,180,0,0,91.92388,-120.20815,175.0,-0.70711,0.70711,0.0,-0.0
250.0,-10.0,75.0,180,0,0,98.99495,-113.13708,75.0,-0.70711,0.70711,0.0,-0.0
250.0,-10.0,85.0,180,0,0,98.99495,-113.13708,85.0,-0.70711,0.70711,0.0,-0.0
250.0,-10.0,95.0,180,0,0,98.99495,-113.13708,95.0,-0.70711,0.70711,0.0,-0.0
250.0,-10.0,105.0,180,0,0,98.99495,-113.13708,105.0,-0.70711,0.70711,0.0,-0.0
250.0,-10.0,115.0,180,0,0,98.99495,-113.13708,115.0,-0.70711,0.70711,0.0,-0.0
250.0,-10.0,125.0,180,0,0,98.99495,-113.13708,125.0,-0.70711,0.70711,0.0,-0.0
250.0,-10.0,135.0,180,0,0,98.99495,-113.13708,135.0,-0.70711,0.70711,0.0,-0.0
250.0,-10.0,145.0,180,0,0,98.99495,-113.13708,145.0,-0.70711,0.70711,0.0,-0.0
250.0,-10.0,155.0,180,0,0,98.99495,-113.13708,155.0,-0.70711,0.70711,0.0,-0.0
250.0,-10.0,165.0,180,0,0,98.99495,-113.13708,165.0,-0.70711,0.70711,0.0,-0.0
250.0,-10.0,175.0,180,0,0,98.99495,-113.13708,175.0,-0.70711,0.70711,0.0,-0.0
250.0,0.0,75.0,180,0,0,106.06602,-106.06602,75.0,-0.70711,0.70711,0.0,-0.0
250.0,0.0,85.0,180,0,0,106.06602,-106.06602,85.0,-0.70711,0.70711,0.0,-0.0
250.0,0.0,95.0,180,0,0,106.06602,-106.06602,95.0,-0.70711,0.70711,0.0,-0.0
250.0,0.0,105.0,180,0,0,106.06602,-106.06602,105.0,-0.70711,0.70711,0.0,-0.0
250.0,0.0,115.0,180,0,0,106.06602,-106.06602,115.0,-0.70711,0.70711,0.0,-0.0
250.0,0.0,125.0,180,0,0,106.06602,-106.06602,125.0,-0.70711,0.70711,0.0,-0.0
250.0,0.0,135.0,180,0,0,106.06602,-106.06602,135.0,-0.70711,0.70711,0.0,-0.0
