robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w
75.0,-50.0,-350.0,-20,99,43,168.80014,210.9901,-117.87999,0.46752,0.43368,0.22365,0.73711
75.0,-50.0,-340.0,-20,99,43,162.06929,205.92599,-112.49014,0.46752,0.43368,0.22365,0.73711
75.0,-50.0,-330.0,-20,99,43,155.33844,200.86189,-107.10028,0.46752,0.43368,0.22365,0.73711
75.0,-50.0,-320.0,-20,99,43,148.6076,195.79778,-101.71043,0.46752,0.43368,0.22365,0.73711
75.0,-50.0,-310.0,-20,99,43,141.87675,190.73368,-96.32057,0.46752,0.43368,0.22365,0.73711
75.0,-50.0,-300.0,-20,99,43,135.1459,185.66957,-90.93071,0.46752,0.43368,0.22365,0.73711
75.0,-50.0,-290.0,-20,99,43,128.41506,180.60547,-85.54086,0.46752,0.43368,0.22365,0.73711
75.0,-50.0,-280.0,-20,99,43,121.68421,175.54136,-80.151,0.46752,0.43368,0.22365,0.73711
75.0,-50.0,-270.0,-20,99,43,114.95336,170.47726,-74.76115,0.46752,0.43368,0.22365,0.73711
75.0,-50.0,-260.0,-20,99,43,108.22252,165.41315,-69.37129,0.46752,0.43368,0.22365,0.73711
75.0,-50.0,-250.0,-20,99,43,101.49167,160.34905,-63.98144,0.46752,0.43368,0.22365,0.73711
75.0,-40.0,-350.0,-20,99,43,173.64384,202.46425,-119.84174,0.46752,0.43368,0.22365,0.73711
75.0,-40.0,-340.0,-20,99,43,166.913,197.40015,-114.45188,0.46752,0.43368,0.22365,0.73711
75.0,-40.0,-330.0,-20,99,43,160.18215,192.33604,-109.06203,0.46752,0.43368,0.22365,0.73711
75.0,-40.0,-320.0,-20,99,43,153.4513,187.27194,-103.67217,0.46752,0.43368,0.22365,0.73711
75.0,-40.0,-310.0,-20,99,43,146.72046,182.20783,-98.28232,0.46752,0.43368,0.22365,0.73711
75.0,-40.0,-300.0,-20,99,43,139.98961,177.14373,-92.89246,0.46752,0.43368,0.22365,0.73711
