robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w
75.0,-50.0,-350.0,0,0,180,52.46151,-51.46575,-104.76593,0.83648,-0.54763,-0.00489,-0.01954
75.0,-50.0,-330.0,0,0,180,52.66197,-51.03734,-124.76034,0.83648,-0.54763,-0.00489,-0.01954
75.0,-50.0,-310.0,0,0,180,52.86242,-50.60892,-144.75474,0.83648,-0.54763,-0.00489,-0.01954
75.0,-50.0,-290.0,0,0,180,53.06288,-50.1805,-164.74915,0.83648,-0.54763,-0.00489,-0.01954
75.0,-50.0,-270.0,0,0,180,53.26334,-49.75209,-184.74355,0.83648,-0.54763,-0.00489,-0.01954
75.0,-50.0,-250.0,0,0,180,53.46379,-49.32367,-204.73796,0.83648,-0.54763,-0.00489,-0.01954
75.0,-30.0,-350.0,0,0,180,52.20237,-31.47196,-104.34012,0.83648,-0.54763,-0.00489,-0.01954
75.0,-30.0,-330.0,0,0,180,52.40283,-31.04355,-124.33453,0.83648,-0.54763,-0.00489,-0.01954
75.0,-30.0,-310.0,0,0,180,52.60328,-30.61513,-144.32894,0.83648,-0.54763,-0.00489,-0.01954
75.0,-30.0,-290.0,0,0,180,52.80374,-30.18671,-164.32334,0.83648,-0.54763,-0.00489,-0.01954
75.0,-30.0,-270.0,0,0,180,53.0042,-29.7583,-184.31775,0.83648,-0.54763,-0.00489,-0.01954
75.0,-30.0,-250.0,0,0,180,53.20465,-29.32988,-204.31215,0.83648,-0.54763,-0.00489,-0.01954
75.0,-10.0,-350.0,0,0,180,51.94323,-11.47818,-103.91432,0.83648,-0.54763,-0.00489,-0.01954
75.0,-10.0,-330.0,0,0,180,52.14369,-11.04976,-123.90872,0.83648,-0.54763,-0.00489,-0.01954
75.0,-10.0,-310.0,0,0,180,52.34415,-10.62134,-143.90313,0.83648,-0.54763,-0.00489,-0.01954
75.0,-10.0,-290.0,0,0,180,52.5446,-10.19293,-163.89754,0.83648,-0.54763,-0.00489,-0.01954
75.0,-10.0,-270.0,0,0,180,52.74506,-9.76451,-183.89194,0.83648,-0.54763,-0.00489,-0.01954
75.0,-10.0,-250.0,0,0,180,52.94552,-9.33609,-203.88635,0.83648,-0.54763,-0.00489,-0.01954
75.0,10.0,-350.0,0,0,180,51.6841,8.51561,-103.48851,0.83648,-0.54763,-0.00489,-0.01954
75.0,10.0,-330.0,0,0,180,51.88455,8.94403,-123.48292,0.83648,-0.54763,-0.00489,-0.01954
75.0,10.0,-310.0,0,0,180,52.08501,9.37244,-143.47733,0.83648,-0.54763,-0.00489,-0.01954
75.0,10.0,-290.0,0,0,180,52.28546,9.80086,-163.47173,0.83648,-0.54763,-0.00489,-0.01954
75.0,10.0,-270.0,0,0,180,52.48592,10.22928,-183.46614,0.83648,-0.54763,-0.00489,-0.01954
