robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w
250.0,-50.0,75.0,0,0,0,254.41854,-51.04171,70.19057,-0.01166,0.07256,0.00678,0.99727
250.0,-50.0,85.0,0,0,0,249.69784,-46.4177,88.58495,0.03605,0.03345,-0.03433,0.9982
250.0,-50.0,95.0,0,0,0,254.6384,-45.86994,91.6407,0.0246,-0.01422,0.00353,0.99959
250.0,-50.0,105.0,0,0,0,248.77478,-44.92787,105.02165,-0.01873,-0.01911,0.02319,0.99937
250.0,-50.0,115.0,0,0,0,250.85305,-53.29033,113.67579,-0.02568,0.07455,-0.03069,0.99641
250.0,-50.0,125.0,0,0,0,248.26636,-50.76661,126.0964,0.04384,0.00596,-0.01365,0.99893
250.0,-50.0,135.0,0,0,0,249.90682,-44.49972,136.72349,-0.00997,-0.09075,-0.04727,0.9947
250.0,-50.0,145.0,0,0,0,250.40103,-50.29283,143.60767,-0.0016,-0.04753,0.00535,0.99885
250.0,-50.0,155.0,0,0,0,251.73072,-45.33986,161.40914,0.0166,-0.116,-0.00111,0.99311
250.0,-50.0,165.0,0,0,0,246.16377,-50.32612,167.42744,0.03888,0.03843,0.1151,0.99185
250.0,-50.0,175.0,0,0,0,252.7074,-44.99933,176.32059,0.06442,-0.0031,-0.03669,0.99724
250.0,-40.0,75.0,0,0,0,246.18804,-42.25694,75.75529,-0.00367,-0.04939,-0.0449,0.99776
250.0,-40.0,85.0,0,0,0,248.22735,-41.55024,86.35969,0.03721,0.00868,-0.07472,0.99647
250.0,-40.0,95.0,0,0,0,253.90612,-42.56456,101.31042,0.041,0.00337,-0.09346,0.99477
250.0,-40.0,105.0,0,0,0,251.67465,-45.43704,108.72131,0.06334,-0.05147,0.01469,0.99656
250.0,-40.0,115.0,0,0,0,249.04679,-40.26763,116.64376,-0.0072,0.0205,0.01675,0.99962
250.0,-40.0,125.0,0,0,0,251.2689,-36.16737,123.83242,-0.06892,0.01758,0.07877,0.99435
250.0,-40.0,135.0,0,0,0,244.82973,-42.72026,130.54521,-0.08521,-0.01599,0.01035,0.99618
250.0,-40.0,145.0,0,0,0,250.98479,-45.97885,144.35731,0.01017,0.05267,0.03737,0.99786
250.0,-40.0,155.0,0,0,0,247.46044,-37.92176,150.33437,-0.04387,0.02408,-0.02435,0.99845
250.0,-40.0,165.0,0,0,0,243.80017,-44.58409,164.89752,-0.008,0.03407,0.03559,0.99875
250.0,-40.0,175.0,0,0,0,248.17616,-39.84351,171.38976,0.02059,-0.04924,0.01644,0.99844
250.0,-30.0,75.0,0,0,0,253.0633,-29.4514,78.60478,-0.04009,-0.00898,-0.01216,0.99908
250.0,-30.0,85.0,0,0,0,250.62447,-24.86112,85.26698,0.1493,0.03781,0.01037,0.98801
250.0,-30.0,95.0,0,0,0,251.75623,-30.57434,94.87557,0.07031,-0.0496,-0.06243,0.99433
250.0,-30.0,105.0,0,0,0,249.76654,-27.27643,102.76451,-0.06054,-0.06395,-0.04307,0.99518
250.0,-30.0,115.0,0,0,0,248.85009,-35.3255,109.08144,0.0506,0.03603,0.02797,0.99768
250.0,-30.0,125.0,0,0,0,251.09618,-26.8489,117.62814,0.02159,0.1023,-0.00395,0.99451
250.0,-30.0,135.0,0,0,0,251.87088,-36.49125,128.99197,-0.00403,0.0029,-0.04266,0.99908
250.0,-30.0,145.0,0,0,0,253.92247,-25.57656,145.80715,-0.01807,0.07487,0.01358,0.99694
250.0,-30.0,155.0,0,0,0,248.96909,-27.40038,159.09449,0.03884,-0.05084,-0.06278,0.99598
250.0,-30.0,165.0,0,0,0,246.56457,-33.13982,162.46773,0.03229,-0.069,0.03368,0.99652
250.0,-30.0,175.0,0,0,0,247.56942,-28.4037,176.88093,-0.06367,0.0803,0.01653,0.9946
250.0,-20.0,75.0,0,0,0,246.29278,-18.42233,74.81467,-0.00449,-0.02692,0.03844,0.99889
250.0,-20.0,85.0,0,0,0,247.03261,-19.98163,81.09378,0.02545,0.10319,-0.02952,0.9939
250.0,-20.0,95.0,0,0,0,244.56839,-20.10367,91.34894,0.0293,0.00208,0.009,0.99953
250.0,-20.0,105.0,0,0,0,246.46293,-21.70489,101.72821,0.0152,-0.06506,0.04548,0.99673
250.0,-20.0,115.0,0,0,0,251.46045,-20.08846,113.1572,0.05533,-0.01612,0.03392,0.99776
250.0,-20.0,125.0,0,0,0,249.32145,-21.78177,124.14931,-0.00847,0.01219,0.0243,0.99959
250.0,-20.0,135.0,0,0,0,255.9334,-22.61127,140.30877,-0.0539,0.06144,-0.05393,0.99519
250.0,-20.0,145.0,0,0,0,254.07725,-17.71144,144.80207,-0.10234,-0.0521,0.02062,0.99317
250.0,-20.0,155.0,0,0,0,251.30928,-17.30701,158.43928,0.0204,0.04057,0.0048,0.99896
250.0,-20.0,165.0,0,0,0,251.18426,-21.27358,163.44504,-0.03367,0.07872,-0.06079,0.99447
250.0,-20.0,175.0,0,0,0,248.88148,-20.1165,177.31286,-0.06433,-0.0275,0.05553,0.996
250.0,-10.0,75.0,0,0,0,249.14282,-10.15189,76.31337,0.07082,0.02157,-0.01203,0.99718
250.0,-10.0,85.0,0,0,0,248.54451,-9.00934,87.87286,0.01131,0.07902,-0.09572,0.9922
250.0,-10.0,95.0,0,0,0,255.5389,-14.59589,94.74712,-0.0659,0.01063,0.01797,0.99761
250.0,-10.0,105.0,0,0,0,249.15699,-14.17716,104.98992,0.01554,0.01248,-0.04968,0.99857
250.0,-10.0,115.0,0,0,0,247.16329,-13.57502,109.45634,0.01301,0.01757,-0.00696,0.99974
250.0,-10.0,125.0,0,0,0,249.80296,-8.67106,123.75756,-0.05067,-0.09138,-0.09359,0.99011
250.0,-10.0,135.0,0,0,0,248.54033,-8.51152,136.12744,-0.00941,-0.02503,-0.06151,0.99775
250.0,-10.0,145.0,0,0,0,244.37748,-11.41656,147.24663,0.00348,-0.00059,-0.0374,0.99929
250.0,-10.0,155.0,0,0,0,250.95796,-9.1073,152.88597,0.01819,0.00563,0.00659,0.9998
250.0,-10.0,165.0,0,0,0,247.19245,-10.19756,164.72412,0.08436,0.0534,0.07331,0.9923
250.0,-10.0,175.0,0,0,0,249.89232,-8.97022,171.53983,0.00111,-0.07553,-0.0694,0.99472
250.0,0.0,75.0,0,0,0,253.11401,-1.36401,74.89356,0.03617,0.0066,-0.0144,0.99922
250.0,0.0,85.0,0,0,0,255.1034,0.55979,86.52195,0.04252,0.04855,-0.03746,0.99721
250.0,0.0,95.0,0,0,0,243.61128,0.29563,101.77092,0.05964,0.00688,0.02896,0.99778
250.0,0.0,105.0,0,0,0,250.72377,-0.31887,104.04109,0.00633,-0.04244,0.10529,0.99352
250.0,0.0,115.0,0,0,0,250.53687,-0.63642,113.10533,-0.05218,-0.05755,-0.02611,0.99664
250.0,0.0,125.0,0,0,0,250.82755,-2.06711,120.31881,0.02733,0.01199,-0.04869,0.99837
250.0,0.0,135.0,0,0,0,252.1203,-1.216,132.86758,-0.06219,-0.05629,0.02998,0.99602
250.0,0.0,145.0,0,0,0,251.58932,-1.9079,148.15918,-0.04526,-0.03459,-0.05847,0.99666
250.0,0.0,155.0,0,0,0,252.15256,-1.88442,157.29207,0.10196,0.02064,0.05009,0.99331
250.0,0.0,165.0,0,0,0,247.13724,-0.78297,165.77098,-0.04236,-0.01821,0.00221,0.99893
250.0,0.0,175.0,0,0,0,253.3574,2.95624,174.66166,-0.08857,-0.08842,-0.07977,0.98893
250.0,10.0,75.0,0,0,0,253.62815,7.93818,74.42942,-0.00397,-0.04509,0.0145,0.99887
250.0,10.0,85.0,0,0,0,253.38327,10.92724,83.04578,0.0614,-0.07095,0.07603,0.99268
250.0,10.0,95.0,0,0,0,250.30589,11.92155,90.39707,0.02079,-0.0696,0.03906,0.99659
250.0,10.0,105.0,0,0,0,252.82443,6.9157,105.88941,0.06891,-0.01918,0.0678,0.99513
250.0,10.0,115.0,0,0,0,242.03282,9.20265,111.22362,0.09751,0.01372,0.02903,0.99472
250.0,10.0,125.0,0,0,0,248.13828,17.14698,127.07809,-0.05408,0.02182,-0.02285,0.99804
250.0,10.0,135.0,0,0,0,248.73702,11.97508,133.9282,-0.02372,-0.04158,0.00193,0.99885
250.0,10.0,145.0,0,0,0,248.96043,13.60071,147.13652,-0.01709,0.01989,-0.00173,0.99965
250.0,10.0,155.0,0,0,0,248.92208,7.95018,159.71867,0.08443,0.0193,-0.01936,0.99605
250.0,10.0,165.0,0,0,0,244.96533,7.62303,168.12632,0.03281,0.02905,0.02255,0.99878
250.0,10.0,175.0,0,0,0,250.28365,14.76093,171.99479,-0.03809,0.08523,0.03392,0.99506
250.0,20.0,75.0,0,0,0,252.16318,19.09808,76.41186,0.01721,0.00912,0.01022,0.99976
250.0,20.0,85.0,0,0,0,247.46301,20.30894,89.54234,0.05455,-0.00809,-0.00635,0.99846
250.0,20.0,95.0,0,0,0,256.29657,17.1517,95.3432,-0.16494,-0.03013,0.05447,0.98434
250.0,20.0,105.0,0,0,0,252.07801,25.96939,110.38606,0.06723,-0.06566,0.00258,0.99557
250.0,20.0,115.0,0,0,0,244.82826,17.91452,113.26013,-0.06413,-0.07361,-0.02502,0.99491
250.0,20.0,125.0,0,0,0,249.58661,18.75711,121.62204,-0.0523,0.11907,0.04538,0.99047
250.0,20.0,135.0,0,0,0,248.08645,21.01407,138.06055,-0.04986,0.04137,-0.01359,0.99781
250.0,20.0,145.0,0,0,0,247.74124,22.36353,145.30113,0.00908,0.01094,-0.00173,0.9999
250.0,20.0,155.0,0,0,0,245.11808,14.33233,155.5326,-0.05147,-0.03,-0.17813,0.9822
250.0,20.0,165.0,0,0,0,249.71699,22.67917,167.03499,0.04537,0.08835,0.01356,0.99496
250.0,20.0,175.0,0,0,0,252.18394,27.88508,172.82131,0.01782,0.04593,-0.03558,0.99815
250.0,30.0,75.0,0,0,0,247.8781,33.25779,73.1063,-0.0089,0.11346,-0.07597,0.99059
250.0,30.0,85.0,0,0,0,246.02502,30.93179,89.04221,0.03285,-0.0286,-0.00966,0.999
250.0,30.0,95.0,0,0,0,252.01195,30.45718,100.65243,0.00204,0.07108,0.02565,0.99714
250.0,30.0,105.0,0,0,0,255.66826,29.71332,107.37572,0.03756,-0.04793,0.01883,0.99797
250.0,30.0,115.0,0,0,0,249.13502,32.34419,111.95099,-0.04085,0.08403,-0.00592,0.99561
250.0,30.0,125.0,0,0,0,252.2396,27.13096,127.25685,0.00046,0.05472,-0.04856,0.99732
250.0,30.0,135.0,0,0,0,247.69636,31.83828,137.41461,0.0673,0.0167,0.02512,0.99728
250.0,30.0,145.0,0,0,0,247.97026,33.22597,146.5923,-0.04745,0.03518,-0.12815,0.98999
250.0,30.0,155.0,0,0,0,248.59647,32.57764,153.1978,-0.09154,0.02444,-0.0135,0.99541
250.0,30.0,165.0,0,0,0,252.30585,33.05758,167.46062,-0.03266,-0.06441,0.04281,0.99647
250.0,30.0,175.0,0,0,0,249.36079,29.83101,175.39023,-0.02118,0.0641,-0.10127,0.99257
250.0,40.0,75.0,0,0,0,245.90917,42.45312,79.45996,-0.06237,0.01059,0.01932,0.99781
250.0,40.0,85.0,0,0,0,250.93422,42.32218,87.55941,-0.01816,-0.04521,0.10042,0.99375
250.0,40.0,95.0,0,0,0,246.5776,41.57877,95.15086,-0.00311,-0.10442,0.01472,0.99442
250.0,40.0,105.0,0,0,0,255.15621,40.61481,101.47102,0.03119,-0.04969,0.03532,0.99765
250.0,40.0,115.0,0,0,0,250.29353,40.99619,117.75738,0.0187,0.00797,0.05424,0.99832
250.0,40.0,125.0,0,0,0,246.09518,35.91669,125.06246,0.06064,0.07675,-0.06132,0.99331
250.0,40.0,135.0,0,0,0,246.65482,37.41208,133.44819,-0.00644,0.02055,-0.06952,0.99735
250.0,40.0,145.0,0,0,0,248.04889,41.73061,148.66592,0.03063,-0.02548,-0.0579,0.99753
250.0,40.0,155.0,0,0,0,247.39765,42.19132,150.44138,0.12159,-0.02173,0.0478,0.99119
250.0,40.0,165.0,0,0,0,248.03877,41.93681,160.62577,-0.03517,0.04489,-0.08115,0.99507
250.0,40.0,175.0,0,0,0,249.44926,36.86543,179.23615,-0.03316,-0.07331,-0.07166,0.99418
250.0,50.0,75.0,0,0,0,251.74112,53.97098,80.13308,0.04506,0.1167,0.06485,0.99002
250.0,50.0,85.0,0,0,0,250.60382,52.24789,85.85573,-0.02049,0.05965,-0.01552,0.99789
250.0,50.0,95.0,0,0,0,248.60954,51.11916,93.8747,0.10759,-0.04613,0.08431,0.98954
250.0,50.0,105.0,0,0,0,251.94355,53.39625,108.78887,-0.04805,0.04166,-0.00611,0.99796
250.0,50.0,115.0,0,0,0,259.65872,48.65162,118.07549,-0.0228,-0.1094,0.01537,0.99362
250.0,50.0,125.0,0,0,0,253.17892,52.35614,122.48624,-0.02395,-0.00567,0.00069,0.9997
250.0,50.0,135.0,0,0,0,252.17985,50.0282,136.37037,0.02378,0.00298,-0.03771,0.999
250.0,50.0,145.0,0,0,0,252.97626,54.8608,147.33026,-0.06795,-0.04528,0.12515,0.98877
250.0,50.0,155.0,0,0,0,250.67925,53.92562,155.61257,-0.01632,0.08406,-0.0386,0.99558
250.0,50.0,165.0,0,0,0,248.24319,52.72617,164.34761,0.08858,0.07934,0.00818,0.99287
250.0,50.0,175.0,0,0,0,249.55651,50.49968,175.15611,0.05115,0.04369,-0.06689,0.99549
260.0,-50.0,75.0,0,0,0,263.2586,-48.27468,78.82643,0.01477,-0.00613,0.02404,0.99958
260.0,-50.0,85.0,0,0,0,261.37518,-49.77761,90.738,-0.06571,0.01418,0.04451,0.99675
260.0,-50.0,95.0,0,0,0,259.26607,-52.18087,94.20255,-0.0061,0.05264,0.11697,0.99172
260.0,-50.0,105.0,0,0,0,258.50594,-47.80244,114.07015,0.01134,0.05144,0.06681,0.99637
260.0,-50.0,115.0,0,0,0,261.22935,-50.73035,114.17379,0.05329,0.02815,0.02655,0.99783
260.0,-50.0,125.0,0,0,0,258.42376,-49.60257,124.20717,0.01867,0.09701,0.03995,0.99431
260.0,-50.0,135.0,0,0,0,259.91402,-48.74942,137.51255,-0.0268,-0.02493,0.03383,0.99876
260.0,-50.0,145.0,0,0,0,262.17404,-55.65605,143.83486,-0.03006,0.04677,0.02906,0.99803
260.0,-50.0,155.0,0,0,0,260.61897,-48.06124,152.31183,-0.01652,0.04431,-0.01126,0.99882
260.0,-50.0,165.0,0,0,0,261.35121,-48.42752,165.42231,0.02001,0.05417,-0.03688,0.99765
260.0,-50.0,175.0,0,0,0,257.55606,-50.48567,174.64454,-0.05415,-0.04778,0.03717,0.9967
260.0,-40.0,75.0,0,0,0,262.13755,-40.06924,73.5127,-0.04535,0.05271,0.06393,0.99553
260.0,-40.0,85.0,0,0,0,262.67465,-38.03652,90.80904,0.07323,-0.02709,-0.02918,0.99652
260.0,-40.0,95.0,0,0,0,261.33947,-38.84897,97.33201,-0.05793,-0.0078,0.02057,0.99808
260.0,-40.0,105.0,0,0,0,256.63288,-42.22864,101.41709,-0.03961,0.03831,0.01805,0.99832
260.0,-40.0,115.0,0,0,0,263.21564,-35.53461,114.88656,0.00502,-0.03335,0.01487,0.99932
260.0,-40.0,125.0,0,0,0,264.67132,-39.89414,128.22422,0.02632,-0.07254,-0.00153,0.99702
