robot_x,robot_y,robot_z,robot_rx,robot_ry,robot_rz,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
75.0,-50.0,-350.0,0.0,0.0,0.0,315.00927,9.56635,230.65699,0.90131,0.12495,0.09635,-0.40341,0.1
75.0,-50.0,-350.0,0.0,0.0,30.0,318.30797,15.70707,221.4166,0.90294,-0.11258,-0.01135,-0.4146,0.1
75.0,-50.0,-350.0,0.0,0.0,60.0,323.31097,16.2272,210.99192,0.84303,-0.34244,-0.11827,-0.39754,0.1
75.0,-50.0,-350.0,0.0,0.0,90.0,328.67773,10.98736,202.17622,0.72568,-0.54897,-0.21713,-0.35338,0.1
75.0,-50.0,-350.0,0.0,30.0,0.0,321.65312,15.51669,216.93103,0.84566,0.01628,0.32634,-0.42201,0.1
75.0,-50.0,-350.0,0.0,30.0,30.0,323.34214,16.97992,206.51963,0.84756,-0.21734,0.21721,-0.4327,0.1
75.0,-50.0,-350.0,0.0,30.0,60.0,326.15978,12.99966,196.26589,0.78918,-0.44097,0.10365,-0.41473,0.1
75.0,-50.0,-350.0,0.0,30.0,90.0,329.10016,4.03584,188.88,0.67455,-0.63918,-0.00678,-0.3693,0.1
75.0,-50.0,-350.0,0.0,60.0,0.0,320.35903,19.39898,201.08167,0.73238,-0.09349,0.53409,-0.41184,0.1
75.0,-50.0,-350.0,0.0,60.0,30.0,320.56032,16.18795,190.52519,0.7345,-0.31794,0.42605,-0.4218,0.1
75.0,-50.0,-350.0,0.0,60.0,60.0,321.59894,8.02155,181.54527,0.67894,-0.53018,0.30864,-0.40335,0.1
75.0,-50.0,-350.0,0.0,60.0,90.0,322.78259,-4.07061,176.60088,-0.56963,0.71528,-0.18958,0.3577,0.1
75.0,-50.0,-350.0,30.0,0.0,0.0,298.84553,18.40518,227.6666,0.76619,0.14563,0.06072,-0.62294,0.1
75.0,-50.0,-350.0,30.0,0.0,30.0,302.93301,24.89589,214.92097,0.76899,-0.08947,-0.04537,-0.63134,0.1
75.0,-50.0,-350.0,30.0,0.0,60.0,309.90654,24.87453,201.69703,0.7133,-0.31748,-0.14994,-0.60657,0.1
75.0,-50.0,-350.0,30.0,0.0,90.0,318.12885,18.32501,191.12787,0.60303,-0.52279,-0.2458,-0.55012,0.1
75.0,-50.0,-350.0,30.0,30.0,0.0,304.46513,23.87441,217.18012,0.71237,0.03792,0.28846,-0.63866,0.1
75.0,-50.0,-350.0,30.0,30.0,30.0,306.98934,25.77883,203.31649,0.71543,-0.1933,0.18094,-0.64658,0.1
75.0,-50.0,-350.0,30.0,30.0,60.0,311.86631,21.36695,190.15774,0.66123,-0.4151,0.06976,-0.62096,0.1
75.0,-50.0,-350.0,30.0,30.0,90.0,317.78384,11.20992,180.766,-0.55362,0.61216,0.03759,0.56334,0.1
75.0,-50.0,-350.0,30.0,60.0,0.0,303.77295,26.41715,204.41099,-0.60394,0.07141,-0.49486,0.62071,0.1
75.0,-50.0,-350.0,30.0,60.0,30.0,304.80775,23.72179,190.605,-0.60718,0.29351,-0.38841,0.62795,0.1
75.0,-50.0,-350.0,30.0,60.0,60.0,307.87147,15.26626,178.74995,-0.55572,0.50399,-0.27339,0.60202,0.1
75.0,-50.0,-350.0,30.0,60.0,90.0,311.96904,2.17477,171.65524,-0.45328,0.68799,-0.15742,0.54444,0.1
75.0,-50.0,-300.0,0.0,0.0,0.0,270.8151,0.72751,209.00635,0.90131,0.12495,0.09635,-0.40341,0.1
75.0,-50.0,-300.0,0.0,0.0,30.0,274.11379,6.86824,199.76597,0.90294,-0.11258,-0.01135,-0.4146,0.1
75.0,-50.0,-300.0,0.0,0.0,60.0,279.1168,7.38837,189.34129,0.84303,-0.34244,-0.11827,-0.39754,0.1
75.0,-50.0,-300.0,0.0,0.0,90.0,284.48356,2.14853,180.52559,0.72568,-0.54897,-0.21713,-0.35338,0.1
75.0,-50.0,-300.0,0.0,30.0,0.0,277.45895,6.67786,195.2804,0.84566,0.01628,0.32634,-0.42201,0.1
75.0,-50.0,-300.0,0.0,30.0,30.0,279.14797,8.14109,184.86899,0.84756,-0.21734,0.21721,-0.4327,0.1
75.0,-50.0,-300.0,0.0,30.0,60.0,281.9656,4.16083,174.61526,0.78918,-0.44097,0.10365,-0.41473,0.1
75.0,-50.0,-300.0,0.0,30.0,90.0,284.90599,-4.803,167.22936,0.67455,-0.63918,-0.00678,-0.3693,0.1
75.0,-50.0,-300.0,0.0,60.0,0.0,276.16485,10.56015,179.43103,0.73238,-0.09349,0.53409,-0.41184,0.1
75.0,-50.0,-300.0,0.0,60.0,30.0,276.36615,7.34911,168.87455,0.7345,-0.31794,0.42605,-0.4218,0.1
75.0,-50.0,-300.0,0.0,60.0,60.0,277.40476,-0.81729,159.89464,0.67894,-0.53018,0.30864,-0.40335,0.1
75.0,-50.0,-300.0,0.0,60.0,90.0,278.58841,-12.90945,154.95025,-0.56963,0.71528,-0.18958,0.3577,0.1
75.0,-50.0,-300.0,30.0,0.0,0.0,254.65135,9.56635,206.01597,0.76619,0.14563,0.06072,-0.62294,0.1
75.0,-50.0,-300.0,30.0,0.0,30.0,258.73883,16.05705,193.27033,0.76899,-0.08947,-0.04537,-0.63134,0.1
75.0,-50.0,-300.0,30.0,0.0,60.0,265.71237,16.03569,180.0464,0.7133,-0.31748,-0.14994,-0.60657,0.1
75.0,-50.0,-300.0,30.0,0.0,90.0,273.93468,9.48617,169.47724,0.60303,-0.52279,-0.2458,-0.55012,0.1
75.0,-50.0,-300.0,30.0,30.0,0.0,260.27096,15.03558,195.52949,0.71237,0.03792,0.28846,-0.63866,0.1
75.0,-50.0,-300.0,30.0,30.0,30.0,262.79516,16.94,181.66586,0.71543,-0.1933,0.18094,-0.64658,0.1
75.0,-50.0,-300.0,30.0,30.0,60.0,267.67214,12.52811,168.50711,0.66123,-0.4151,0.06976,-0.62096,0.1
75.0,-50.0,-300.0,30.0,30.0,90.0,273.58966,2.37108,159.11536,-0.55362,0.61216,0.03759,0.56334,0.1
75.0,-50.0,-300.0,30.0,60.0,0.0,259.57878,17.57832,182.76035,-0.60394,0.07141,-0.49486,0.62071,0.1
75.0,-50.0,-300.0,30.0,60.0,30.0,260.61358,14.88296,168.95436,-0.60718,0.29351,-0.38841,0.62795,0.1
75.0,-50.0,-300.0,30.0,60.0,60.0,263.6773,6.42743,157.09931,-0.55572,0.50399,-0.27339,0.60202,0.1
75.0,-50.0,-300.0,30.0,60.0,90.0,267.77487,-6.66406,150.0046,-0.45328,0.68799,-0.15742,0.54444,0.1
75.0,-50.0,-250.0,0.0,0.0,0.0,226.62092,-8.11132,187.35572,0.90131,0.12495,0.09635,-0.40341,0.1
75.0,-50.0,-250.0,0.0,0.0,30.0,229.91962,-1.97059,178.11533,0.90294,-0.11258,-0.01135,-0.4146,0.1
75.0,-50.0,-250.0,0.0,0.0,60.0,234.92262,-1.45047,167.69065,0.84303,-0.34244,-0.11827,-0.39754,0.1
75.0,-50.0,-250.0,0.0,0.0,90.0,240.28939,-6.69031,158.87495,0.72568,-0.54897,-0.21713,-0.35338,0.1
75.0,-50.0,-250.0,0.0,30.0,0.0,233.26477,-2.16097,173.62976,0.84566,0.01628,0.32634,-0.42201,0.1
75.0,-50.0,-250.0,0.0,30.0,30.0,234.9538,-0.69774,163.21836,0.84756,-0.21734,0.21721,-0.4327,0.1
75.0,-50.0,-250.0,0.0,30.0,60.0,237.77143,-4.67801,152.96462,0.78918,-0.44097,0.10365,-0.41473,0.1
75.0,-50.0,-250.0,0.0,30.0,90.0,240.71181,-13.64183,145.57873,0.67455,-0.63918,-0.00678,-0.3693,0.1
75.0,-50.0,-250.0,0.0,60.0,0.0,231.97068,1.72131,157.7804,0.73238,-0.09349,0.53409,-0.41184,0.1
75.0,-50.0,-250.0,0.0,60.0,30.0,232.17197,-1.48972,147.22392,0.7345,-0.31794,0.42605,-0.4218,0.1
75.0,-50.0,-250.0,0.0,60.0,60.0,233.21059,-9.65612,138.244,0.67894,-0.53018,0.30864,-0.40335,0.1
75.0,-50.0,-250.0,0.0,60.0,90.0,234.39424,-21.74828,133.29961,-0.56963,0.71528,-0.18958,0.3577,0.1
75.0,-50.0,-250.0,30.0,0.0,0.0,210.45718,0.72751,184.36533,0.76619,0.14563,0.06072,-0.62294,0.1
75.0,-50.0,-250.0,30.0,0.0,30.0,214.54466,7.21822,171.6197,0.76899,-0.08947,-0.04537,-0.63134,0.1
75.0,-50.0,-250.0,30.0,0.0,60.0,221.5182,7.19686,158.39576,0.7133,-0.31748,-0.14994,-0.60657,0.1
75.0,-50.0,-250.0,30.0,0.0,90.0,229.7405,0.64734,147.8266,0.60303,-0.52279,-0.2458,-0.55012,0.1
75.0,-50.0,-250.0,30.0,30.0,0.0,216.07678,6.19675,173.87885,0.71237,0.03792,0.28846,-0.63866,0.1
75.0,-50.0,-250.0,30.0,30.0,30.0,218.60099,8.10116,160.01522,0.71543,-0.1933,0.18094,-0.64658,0.1
75.0,-50.0,-250.0,30.0,30.0,60.0,223.47796,3.68928,146.85647,0.66123,-0.4151,0.06976,-0.62096,0.1
75.0,-50.0,-250.0,30.0,30.0,90.0,229.39549,-6.46775,137.46473,-0.55362,0.61216,0.03759,0.56334,0.1
75.0,-50.0,-250.0,30.0,60.0,0.0,215.3846,8.73948,161.10972,-0.60394,0.07141,-0.49486,0.62071,0.1
75.0,-50.0,-250.0,30.0,60.0,30.0,216.41941,6.04412,147.30373,-0.60718,0.29351,-0.38841,0.62795,0.1
75.0,-50.0,-250.0,30.0,60.0,60.0,219.48312,-2.41141,135.44868,-0.55572,0.50399,-0.27339,0.60202,0.1
75.0,-50.0,-250.0,30.0,60.0,90.0,223.58069,-15.50289,128.35397,-0.45328,0.68799,-0.15742,0.54444,0.1
75.0,0.0,-350.0,0.0,0.0,0.0,299.69996,55.49428,243.15699,0.90131,0.12495,0.09635,-0.40341,0.1
75.0,0.0,-350.0,0.0,0.0,30.0,302.99866,61.63501,233.9166,0.90294,-0.11258,-0.01135,-0.4146,0.1
75.0,0.0,-350.0,0.0,0.0,60.0,308.00166,62.15514,223.49192,0.84303,-0.34244,-0.11827,-0.39754,0.1
75.0,0.0,-350.0,0.0,0.0,90.0,313.36842,56.91529,214.67622,0.72568,-0.54897,-0.21713,-0.35338,0.1
75.0,0.0,-350.0,0.0,30.0,0.0,306.34381,61.44463,229.43103,0.84566,0.01628,0.32634,-0.42201,0.1
75.0,0.0,-350.0,0.0,30.0,30.0,308.03283,62.90786,219.01963,0.84756,-0.21734,0.21721,-0.4327,0.1
75.0,0.0,-350.0,0.0,30.0,60.0,310.85046,58.92759,208.76589,0.78918,-0.44097,0.10365,-0.41473,0.1
75.0,0.0,-350.0,0.0,30.0,90.0,313.79085,49.96377,201.38,0.67455,-0.63918,-0.00678,-0.3693,0.1
75.0,0.0,-350.0,0.0,60.0,0.0,305.04972,65.32691,213.58167,0.73238,-0.09349,0.53409,-0.41184,0.1
75.0,0.0,-350.0,0.0,60.0,30.0,305.25101,62.11588,203.02519,0.7345,-0.31794,0.42605,-0.4218,0.1
