robot_x,robot_y,robot_z,robot_rx,robot_ry,robot_rz,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
75.0,-50.0,-350.0,0,80,60,-192.5298,-306.68281,24.55459,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-50.0,-330.0,0,80,60,-181.39639,-291.36192,18.12672,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-50.0,-310.0,0,80,60,-170.26299,-276.04103,11.69884,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-50.0,-290.0,0,80,60,-159.12958,-260.72015,5.27096,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-50.0,-270.0,0,80,60,-147.99617,-245.39926,-1.15691,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-50.0,-250.0,0,80,60,-136.86276,-230.07837,-7.58479,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-30.0,-350.0,0,80,60,-205.79808,-293.82706,32.21504,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-30.0,-330.0,0,80,60,-194.66467,-278.50617,25.78716,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-30.0,-310.0,0,80,60,-183.53127,-263.18528,19.35929,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-30.0,-290.0,0,80,60,-172.39786,-247.86439,12.93141,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-30.0,-270.0,0,80,60,-161.26445,-232.5435,6.50353,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-30.0,-250.0,0,80,60,-150.13104,-217.22262,0.07566,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-10.0,-350.0,0,80,60,-219.06636,-280.97131,39.87548,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-10.0,-330.0,0,80,60,-207.93295,-265.65042,33.44761,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-10.0,-310.0,0,80,60,-196.79954,-250.32953,27.01973,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-10.0,-290.0,0,80,60,-185.66614,-235.00864,20.59185,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-10.0,-270.0,0,80,60,-174.53273,-219.68775,14.16398,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,-10.0,-250.0,0,80,60,-163.39932,-204.36686,7.7361,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,10.0,-350.0,0,80,60,-232.33464,-268.11556,47.53593,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,10.0,-330.0,0,80,60,-221.20123,-252.79467,41.10805,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,10.0,-310.0,0,80,60,-210.06782,-237.47378,34.68017,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,10.0,-290.0,0,80,60,-198.93442,-222.15289,28.2523,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,10.0,-270.0,0,80,60,-187.80101,-206.832,21.82442,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,10.0,-250.0,0,80,60,-176.6676,-191.51111,15.39655,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,30.0,-350.0,0,80,60,-245.60292,-255.2598,55.19637,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,30.0,-330.0,0,80,60,-234.46951,-239.93891,48.76849,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,30.0,-310.0,0,80,60,-223.3361,-224.61803,42.34062,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,30.0,-290.0,0,80,60,-212.20269,-209.29714,35.91274,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,30.0,-270.0,0,80,60,-201.06929,-193.97625,29.48487,0.46144,-0.17598,0.66531,-0.55988,0.1
75.0,30.0,-250.0,0,80,60,-189.93588,-178.65536,23.05699,0.46144,-0.17598,0.66531,-0.55988,0.1
