robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w
250.0,-50.0,75.0,180,0,0,150.19745,74.67007,50.46419,0.68449,0.02649,-0.04556,0.72712
250.0,-50.0,85.0,180,0,0,149.67599,85.1416,50.34783,0.76699,0.06992,-0.08405,0.63228
250.0,-50.0,95.0,180,0,0,150.62379,95.11649,50.31222,0.68528,-0.03164,-0.0605,0.72507
250.0,-50.0,105.0,180,0,0,150.42288,105.50039,49.44835,0.74944,-0.00191,0.06935,0.65843
250.0,-50.0,115.0,180,0,0,149.83235,115.40002,50.19037,0.70656,-0.04247,-0.05756,0.70403
250.0,-50.0,125.0,180,0,0,150.52596,124.99646,50.37189,0.70882,0.02235,0.03247,0.70429
250.0,-50.0,135.0,180,0,0,150.08331,136.14739,49.40465,0.6821,0.00215,-0.08703,0.72606
250.0,-50.0,145.0,180,0,0,150.14852,145.25893,49.28596,0.75203,0.01484,0.09809,0.65162
250.0,-50.0,155.0,180,0,0,149.80147,155.21052,49.8465,0.68492,-0.02337,0.19138,0.70265
250.0,-50.0,165.0,180,0,0,150.52463,165.0284,48.87838,0.66824,-0.02027,-0.01036,0.74359
250.0,-50.0,175.0,180,0,0,149.8616,174.5272,49.37995,0.62116,0.0481,-0.02233,0.78189
250.0,-40.0,75.0,180,0,0,150.17735,74.31299,40.08119,0.78532,-0.06196,0.00496,0.61597
250.0,-40.0,85.0,180,0,0,149.49609,84.76427,39.82028,0.69265,0.10079,-0.01368,0.71407
250.0,-40.0,95.0,180,0,0,150.29212,95.91483,40.17286,0.75116,-0.01519,0.01996,0.65964
250.0,-40.0,105.0,180,0,0,149.3525,104.69075,40.53096,0.68299,0.01112,-0.00654,0.73031
250.0,-40.0,115.0,180,0,0,150.61972,114.63843,40.04024,0.67918,-0.02522,0.02057,0.73325
250.0,-40.0,125.0,180,0,0,150.27307,125.05852,39.785,0.73833,-0.03849,0.09094,0.66718
250.0,-40.0,135.0,180,0,0,150.55703,135.65495,39.67844,0.69453,0.00661,0.03783,0.71844
250.0,-40.0,145.0,180,0,0,149.95794,144.35022,39.63569,0.74057,-0.0052,0.00871,0.6719
250.0,-40.0,155.0,180,0,0,149.59505,154.85859,40.28287,0.69405,0.0128,-0.07355,0.71604
250.0,-40.0,165.0,180,0,0,149.63042,164.81464,40.11241,0.68002,-0.04194,0.03795,0.73101
250.0,-40.0,175.0,180,0,0,150.6115,175.02839,39.96912,0.75649,-0.03085,-0.00762,0.65323
250.0,-30.0,75.0,180,0,0,149.35239,74.5575,31.45142,0.71654,-0.00594,0.0082,0.69747
250.0,-30.0,85.0,180,0,0,149.99743,85.66741,29.88058,0.75135,-0.0224,-0.01609,0.65933
250.0,-30.0,95.0,180,0,0,150.62543,93.9005,29.71487,0.65998,-0.04052,-0.02728,0.74969
250.0,-30.0,105.0,180,0,0,149.72292,105.89182,29.69389,0.69049,-0.10185,-0.05387,0.71411
