robot_x,robot_y,robot_z,robot_rx,robot_ry,robot_rz,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
75.0,-50.0,-350.0,0.0,0.0,0.0,-179.13613,-37.36333,-179.70436,0.73994,0.19827,-0.16637,-0.62089,0.1
75.0,-50.0,-350.0,0.0,0.0,30.0,-149.21419,-51.41283,-206.81532,-0.62085,-0.43024,0.16961,0.63298,0.1
75.0,-50.0,-350.0,0.0,0.0,60.0,-111.74717,-45.96442,-226.67109,0.45946,0.63289,-0.16129,-0.60195,0.1
75.0,-50.0,-350.0,0.0,0.0,90.0,-76.77432,-22.478,-233.95134,0.26675,0.7924,-0.14198,-0.52989,0.1
75.0,-50.0,-350.0,0.0,30.0,0.0,-184.14157,-31.49953,-183.72965,-0.56811,-0.10569,0.21123,0.78833,0.1
75.0,-50.0,-350.0,0.0,30.0,30.0,-160.35032,-40.22498,-217.32845,-0.45206,-0.33599,0.21386,0.79813,0.1
75.0,-50.0,-350.0,0.0,30.0,60.0,-128.08043,-31.00989,-242.39521,-0.2975,-0.53916,0.20393,0.76106,0.1
75.0,-50.0,-350.0,0.0,30.0,90.0,-96.65803,-5.75708,-253.00067,0.11516,0.70135,-0.18207,-0.67948,0.1
75.0,-50.0,-350.0,0.0,60.0,0.0,-189.27199,-24.48422,-183.40448,-0.35755,-0.00592,0.2417,0.90205,0.1
75.0,-50.0,-350.0,0.0,60.0,30.0,-173.12265,-27.03434,-220.24217,-0.24714,-0.22931,0.24367,0.90938,0.1
75.0,-50.0,-350.0,0.0,60.0,60.0,-147.92705,-14.08276,-247.97015,-0.10291,-0.42818,0.23237,0.86722,0.1
75.0,-50.0,-350.0,0.0,60.0,90.0,-121.90917,12.04899,-260.41987,0.06485,-0.58889,0.20851,0.77816,0.1
75.0,-50.0,-350.0,30.0,0.0,0.0,-188.47362,-11.86134,-211.58868,0.71473,0.19151,0.0893,-0.66672,0.1
75.0,-50.0,-350.0,30.0,0.0,30.0,-158.1922,-26.94625,-234.20618,-0.597,-0.42083,-0.08324,0.67791,0.1
75.0,-50.0,-350.0,30.0,0.0,60.0,-119.49139,-24.7948,-247.37534,-0.43749,-0.62109,-0.083,0.64496,0.1
75.0,-50.0,-350.0,30.0,0.0,90.0,-82.59101,-6.3509,-246.78999,0.2471,0.77857,0.08837,-0.57005,0.1
75.0,-50.0,-350.0,30.0,30.0,0.0,-194.9496,1.05175,-207.43947,-0.54486,-0.1,-0.04209,0.83148,0.1
75.0,-50.0,-350.0,30.0,30.0,30.0,-170.6431,-8.97935,-236.63319,-0.43015,-0.32765,-0.03666,0.8404,0.1
75.0,-50.0,-350.0,30.0,30.0,60.0,-136.93819,-3.60937,-255.48047,-0.27743,-0.52842,-0.03808,0.80147,0.1
75.0,-50.0,-350.0,30.0,30.0,90.0,-103.36276,15.83245,-259.01444,-0.09734,-0.68857,-0.04609,0.71713,0.1
75.0,-50.0,-350.0,30.0,60.0,0.0,-200.09118,12.08341,-197.28703,-0.33677,-0.00139,-0.00352,0.94158,0.1
75.0,-50.0,-350.0,30.0,60.0,30.0,-183.30629,8.03107,-230.02608,-0.22765,-0.22219,0.00119,0.94805,0.1
75.0,-50.0,-350.0,30.0,60.0,60.0,-156.57778,16.8111,-252.30601,-0.08518,-0.4187,-0.00176,0.90412,0.1
75.0,-50.0,-350.0,30.0,60.0,90.0,-128.34208,36.70909,-258.83353,0.08042,-0.57737,-0.01203,0.81243,0.1
