robot_x,robot_y,robot_z,robot_rx,robot_ry,robot_rz,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
150.0,-0.0,-200.0,43.176,-43.176,161.137,-54.87,-3.77,-211.03,-0.057,0.357,0.589,0.722,0.124
150.0,-0.0,-200.0,46.152,-42.291,165.555,-55.23,-4.41,-211.56,-0.044,0.362,0.556,0.747,0.146
150.0,-0.0,-200.0,-48.303,40.531,-166.809,-55.37,-4.55,-211.84,-0.031,0.365,0.522,0.77,0.17
150.0,-0.0,-200.0,-48.783,37.432,-162.401,-55.43,-4.16,-212.27,-0.017,0.366,0.487,0.792,0.196
150.0,-0.0,-200.0,-49.165,34.426,-157.958,-55.37,-4.33,-212.34,-0.005,0.368,0.452,0.812,0.222
150.0,-0.0,-200.0,-49.456,31.507,-153.484,-55.5,-4.72,-212.46,0.007,0.368,0.414,0.832,0.251
150.0,-0.0,-200.0,-49.66,28.671,-148.981,-55.64,-5.13,-212.68,0.019,0.368,0.376,0.85,0.28
150.0,-0.0,-200.0,26.803,-46.425,134.017,-54.13,-3.89,-208.76,-0.14,0.317,0.763,0.546,0.053
150.0,0.0,-200.0,29.371,-46.104,138.597,-54.36,-3.54,-208.97,-0.127,0.326,0.737,0.579,0.055
150.0,-0.0,-200.0,32.0,-45.701,143.156,-54.68,-3.69,-209.59,-0.112,0.334,0.709,0.61,0.061
150.0,-0.0,-200.0,34.692,-45.211,147.692,-54.72,-3.71,-209.91,-0.099,0.341,0.681,0.64,0.072
150.0,-0.0,-200.0,37.45,-44.631,152.202,-54.79,-4.05,-210.32,-0.085,0.347,0.651,0.67,0.086
150.0,-0.0,-200.0,40.277,-43.954,156.685,-54.84,-3.74,-210.74,-0.071,0.353,0.621,0.696,0.105
150.0,-0.0,-200.0,43.176,-43.176,161.137,-54.98,-3.91,-211.15,-0.057,0.358,0.589,0.722,0.123
150.0,-0.0,-200.0,29.357,-44.612,166.493,-54.15,-3.35,-210.49,-0.116,0.288,0.571,0.76,0.118
150.0,-0.0,-200.0,32.095,-44.423,171.044,-54.38,-3.72,-210.8,-0.104,0.295,0.536,0.784,0.136
150.0,-0.0,-200.0,-33.272,42.058,-167.241,-54.3,-3.84,-210.91,-0.094,0.301,0.501,0.806,0.152
150.0,-0.0,-200.0,-34.208,39.564,-162.667,-54.48,-3.58,-211.28,-0.082,0.306,0.466,0.826,0.17
150.0,-0.0,-200.0,-35.048,37.13,-158.067,-54.63,-4.15,-211.5,-0.072,0.31,0.428,0.846,0.194
150.0,0.0,-200.0,-35.797,34.753,-153.445,-54.96,-4.49,-211.71,-0.061,0.314,0.39,0.863,0.212
150.0,-0.0,-200.0,-36.46,32.431,-148.803,-54.85,-4.23,-212.01,-0.049,0.317,0.354,0.879,0.236
150.0,-0.0,-200.0,14.684,-44.277,138.696,-52.85,-3.2,-208.02,-0.183,0.233,0.754,0.586,0.097
150.0,-0.0,-200.0,16.942,-44.488,143.376,-53.34,-2.83,-208.51,-0.172,0.244,0.727,0.618,0.096
150.0,-0.0,-200.0,19.27,-44.642,148.04,-53.5,-2.85,-208.71,-0.161,0.253,0.698,0.65,0.097
150.0,-0.0,-200.0,21.671,-44.735,152.685,-53.66,-3.06,-209.29,-0.15,0.264,0.668,0.68,0.098
150.0,-0.0,-200.0,24.15,-44.763,157.311,-53.9,-3.45,-209.73,-0.139,0.273,0.636,0.708,0.1
150.0,-0.0,-200.0,26.711,-44.723,161.914,-53.93,-3.26,-209.9,-0.128,0.28,0.604,0.735,0.108
150.0,-0.0,-200.0,29.357,-44.612,166.493,-54.03,-3.26,-210.26,-0.116,0.287,0.571,0.76,0.121
150.0,-0.0,-200.0,14.94,-45.755,170.761,-52.64,-2.85,-209.92,-0.175,0.209,0.543,0.794,0.17
150.0,-0.0,-200.0,-16.954,45.148,-171.106,-52.82,-3.44,-210.21,-0.167,0.22,0.508,0.816,0.17
150.0,-0.0,-200.0,-18.427,43.238,-166.452,-52.87,-3.1,-210.4,-0.157,0.228,0.474,0.836,0.174
150.0,0.0,-200.0,-19.799,41.357,-161.777,-53.25,-3.51,-210.82,-0.147,0.238,0.437,0.854,0.181
150.0,0.0,-200.0,-21.077,39.504,-157.083,-53.51,-4.0,-210.92,-0.138,0.245,0.4,0.872,0.192
