robot_x,robot_y,robot_z,robot_rx,robot_ry,robot_rz,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
150.0,-0.0,-200.0,43.176,-43.176,161.137,-54.84,-4.04,-211.16,-0.057,0.358,0.588,0.723,0.122
150.0,-0.0,-200.0,-49.66,28.671,-148.981,-55.35,-5.16,-212.64,0.018,0.368,0.376,0.85,0.281
150.0,-0.0,-200.0,26.803,-46.425,134.017,-54.07,-3.7,-208.78,-0.14,0.317,0.763,0.546,0.051
150.0,-0.0,-200.0,43.176,-43.176,161.137,-54.98,-3.76,-211.33,-0.057,0.358,0.589,0.722,0.122
150.0,-0.0,-200.0,43.176,43.176,-161.137,-45.78,-0.09,-210.44,-0.354,-0.114,0.434,0.82,0.286
150.0,-0.0,-200.0,26.803,46.425,-134.017,-49.83,-3.65,-211.13,-0.364,0.015,0.241,0.9,0.151
150.0,-0.0,-200.0,-49.66,-28.671,148.981,-44.91,0.51,-209.04,-0.33,-0.206,0.645,0.658,0.168
150.0,-0.0,-200.0,43.176,43.176,-161.137,-45.82,-0.03,-210.32,-0.354,-0.116,0.434,0.82,0.288
150.0,-0.0,-200.0,-43.176,-43.176,-161.137,-53.99,-2.06,-208.83,0.35,0.069,0.467,0.809,0.142
150.0,-0.0,-200.0,-26.803,-46.425,-134.017,-51.19,-2.56,-208.94,0.343,-0.038,0.234,0.909,0.099
150.0,0.0,-200.0,49.66,28.671,148.981,-55.06,-2.5,-210.02,0.33,0.159,0.657,0.659,0.096
150.0,-0.0,-200.0,-43.176,-43.176,-161.137,-54.13,-2.01,-208.96,0.35,0.069,0.466,0.809,0.143
150.0,-0.0,-200.0,-43.176,43.176,161.137,-43.86,-0.2,-213.25,0.027,-0.383,0.591,0.71,0.249
150.0,0.0,-200.0,49.66,-28.671,-148.981,-41.53,-2.79,-215.78,-0.052,-0.398,0.365,0.84,0.344
150.0,-0.0,-200.0,-26.803,46.425,134.017,-50.91,0.06,-206.42,0.132,-0.346,0.768,0.522,0.215
150.0,-0.0,-200.0,-43.176,43.176,161.137,-43.94,-0.06,-213.16,0.028,-0.383,0.591,0.709,0.249
