robot_x,robot_y,robot_z,robot_rx,robot_ry,robot_rz,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
75.0,-75.0,-175.0,-0.0,0.0,180.0,23.88,-74.78,-230.36,-0.013,-0.015,0.626,0.779,0.131
75.0,-75.0,-190.0,-0.0,0.0,180.0,24.29,-74.39,-215.84,-0.012,-0.016,0.633,0.774,0.095
75.0,-75.0,-205.0,-0.0,0.0,180.0,24.64,-74.66,-201.11,-0.013,-0.016,0.638,0.77,0.078
75.0,-75.0,-220.0,-0.0,0.0,180.0,25.13,-74.83,-186.49,-0.012,-0.017,0.643,0.766,0.077
75.0,-75.0,-235.0,-0.0,0.0,180.0,25.35,-74.77,-171.66,-0.011,-0.017,0.647,0.762,0.085
75.0,-75.0,-250.0,-0.0,0.0,180.0,25.67,-75.08,-157.09,-0.01,-0.015,0.65,0.76,0.09
75.0,-75.0,-265.0,-0.0,0.0,180.0,25.81,-75.1,-142.32,-0.008,-0.015,0.655,0.756,0.108
75.0,-75.0,-280.0,-0.0,0.0,180.0,25.99,-75.53,-127.72,-0.006,-0.013,0.66,0.751,0.136
75.0,-75.0,-295.0,-0.0,0.0,180.0,25.97,-75.43,-112.84,-0.003,-0.012,0.666,0.746,0.172
75.0,-75.0,-310.0,-0.0,0.0,180.0,26.22,-75.64,-98.45,0.0,-0.01,0.669,0.743,0.19
75.0,-75.0,-325.0,-0.0,0.0,180.0,25.37,-75.77,-83.75,-0.0,-0.011,0.659,0.752,0.145
75.0,-60.0,-175.0,-0.0,0.0,180.0,23.91,-59.63,-230.48,-0.013,-0.016,0.627,0.779,0.131
75.0,-60.0,-190.0,-0.0,0.0,180.0,24.31,-59.64,-216.23,-0.012,-0.016,0.63,0.776,0.09
75.0,-60.0,-205.0,-0.0,0.0,180.0,24.74,-59.75,-201.48,-0.012,-0.018,0.632,0.775,0.055
75.0,-60.0,-220.0,-0.0,0.0,180.0,25.14,-60.15,-186.73,-0.013,-0.018,0.633,0.774,0.037
75.0,-60.0,-235.0,-0.0,0.0,180.0,25.47,-60.1,-172.01,-0.012,-0.019,0.633,0.774,0.033
75.0,-60.0,-250.0,-0.0,0.0,180.0,25.83,-60.54,-157.5,-0.012,-0.018,0.632,0.775,0.044
75.0,-60.0,-265.0,-0.0,0.0,180.0,26.02,-60.56,-142.87,-0.011,-0.018,0.63,0.776,0.062
75.0,-60.0,-280.0,-0.0,0.0,180.0,26.41,-61.13,-128.08,-0.011,-0.018,0.627,0.779,0.087
75.0,-60.0,-295.0,-0.0,0.0,180.0,26.56,-61.26,-113.2,-0.01,-0.018,0.624,0.781,0.112
75.0,-60.0,-310.0,-0.0,0.0,180.0,26.87,-61.52,-98.56,-0.01,-0.017,0.62,0.785,0.149
75.0,-60.0,-325.0,-0.0,0.0,180.0,28.69,-62.54,-83.26,-0.011,-0.016,0.612,0.791,0.197
75.0,-45.0,-175.0,-0.0,0.0,180.0,24.02,-44.59,-230.61,-0.012,-0.017,0.625,0.78,0.136
75.0,-45.0,-190.0,-0.0,0.0,180.0,24.43,-44.83,-216.55,-0.012,-0.017,0.626,0.779,0.093
75.0,-45.0,-205.0,-0.0,0.0,180.0,24.88,-44.85,-202.01,-0.011,-0.018,0.628,0.778,0.064
75.0,-45.0,-220.0,-0.0,0.0,180.0,25.15,-45.01,-187.32,-0.012,-0.019,0.628,0.778,0.052
75.0,-45.0,-235.0,-0.0,0.0,180.0,25.5,-45.46,-172.53,-0.012,-0.018,0.628,0.778,0.054
75.0,-45.0,-250.0,-0.0,0.0,180.0,25.74,-45.45,-157.85,-0.011,-0.019,0.628,0.778,0.062
75.0,-45.0,-265.0,-0.0,0.0,180.0,26.0,-45.92,-143.41,-0.01,-0.017,0.627,0.779,0.071
75.0,-45.0,-280.0,-0.0,0.0,180.0,26.16,-45.94,-128.42,-0.008,-0.017,0.628,0.778,0.078
75.0,-45.0,-295.0,-0.0,0.0,180.0,26.43,-46.46,-113.77,-0.008,-0.015,0.628,0.778,0.08
75.0,-45.0,-310.0,-0.0,0.0,180.0,26.48,-46.57,-98.91,-0.006,-0.014,0.631,0.776,0.074
75.0,-45.0,-325.0,-0.0,0.0,180.0,26.68,-46.88,-83.98,-0.003,-0.012,0.634,0.773,0.064
75.0,-30.0,-175.0,-0.0,0.0,180.0,24.02,-29.75,-230.84,-0.01,-0.018,0.622,0.783,0.147
75.0,-30.0,-190.0,-0.0,0.0,180.0,24.42,-29.94,-216.68,-0.011,-0.018,0.624,0.781,0.108
75.0,-30.0,-205.0,-0.0,0.0,180.0,24.79,-30.15,-202.22,-0.011,-0.018,0.625,0.78,0.08
75.0,-30.0,-220.0,-0.0,0.0,180.0,25.13,-30.35,-187.7,-0.011,-0.018,0.626,0.78,0.064
75.0,-30.0,-235.0,-0.0,0.0,180.0,25.34,-30.3,-172.77,-0.01,-0.02,0.627,0.779,0.057
75.0,-30.0,-250.0,-0.0,0.0,180.0,25.56,-30.72,-158.1,-0.009,-0.018,0.627,0.778,0.059
75.0,-30.0,-265.0,-0.0,0.0,180.0,25.75,-30.97,-143.72,-0.008,-0.016,0.628,0.778,0.062
75.0,-30.0,-280.0,-0.0,0.0,180.0,25.91,-31.02,-128.76,-0.007,-0.016,0.63,0.777,0.065
75.0,-30.0,-295.0,-0.0,0.0,180.0,26.12,-31.23,-113.98,-0.005,-0.015,0.631,0.775,0.064
75.0,-30.0,-310.0,-0.0,0.0,180.0,26.26,-31.42,-99.02,-0.003,-0.014,0.634,0.773,0.061
75.0,-30.0,-325.0,-0.0,0.0,180.0,26.48,-31.78,-84.25,-0.001,-0.011,0.637,0.77,0.056
75.0,-15.0,-175.0,-0.0,0.0,180.0,24.13,-14.89,-231.04,-0.01,-0.018,0.62,0.785,0.162
75.0,-15.0,-190.0,-0.0,0.0,180.0,24.46,-15.27,-216.87,-0.01,-0.018,0.621,0.783,0.125
75.0,-15.0,-205.0,-0.0,0.0,180.0,24.7,-15.31,-202.28,-0.01,-0.019,0.623,0.782,0.092
75.0,-15.0,-220.0,-0.0,0.0,180.0,24.98,-15.5,-187.88,-0.01,-0.018,0.625,0.78,0.071
75.0,-15.0,-235.0,-0.0,0.0,180.0,25.2,-15.47,-172.94,-0.009,-0.019,0.627,0.779,0.058
75.0,-15.0,-250.0,-0.0,0.0,180.0,25.33,-15.72,-158.38,-0.008,-0.018,0.628,0.778,0.051
75.0,-15.0,-265.0,-0.0,0.0,180.0,25.55,-15.76,-143.85,-0.006,-0.017,0.63,0.777,0.052
75.0,-15.0,-280.0,-0.0,0.0,180.0,25.72,-16.23,-128.93,-0.006,-0.016,0.631,0.776,0.055
75.0,-15.0,-295.0,-0.0,0.0,180.0,25.91,-16.15,-114.05,-0.004,-0.016,0.633,0.774,0.056
75.0,-15.0,-310.0,-0.0,0.0,180.0,26.16,-16.45,-99.28,-0.002,-0.014,0.635,0.772,0.056
75.0,-15.0,-325.0,-0.0,0.0,180.0,26.4,-16.66,-84.37,0.0,-0.012,0.64,0.769,0.055
75.0,-0.0,-175.0,-0.0,0.0,180.0,24.18,-0.22,-231.27,-0.009,-0.018,0.618,0.786,0.176
75.0,-0.0,-190.0,-0.0,0.0,180.0,24.45,-0.56,-217.04,-0.01,-0.018,0.62,0.785,0.139
75.0,-0.0,-205.0,-0.0,0.0,180.0,24.64,-0.62,-202.46,-0.01,-0.019,0.622,0.783,0.107
75.0,-0.0,-220.0,-0.0,0.0,180.0,24.91,-0.82,-187.98,-0.009,-0.018,0.624,0.781,0.081
75.0,-0.0,-235.0,-0.0,0.0,180.0,25.04,-0.87,-173.06,-0.009,-0.018,0.626,0.779,0.062
75.0,-0.0,-250.0,-0.0,0.0,180.0,25.28,-1.01,-158.49,-0.008,-0.017,0.628,0.778,0.051
75.0,-0.0,-265.0,-0.0,0.0,180.0,25.39,-1.01,-143.93,-0.006,-0.016,0.63,0.776,0.046
75.0,-0.0,-280.0,-0.0,0.0,180.0,25.63,-1.33,-129.08,-0.005,-0.015,0.632,0.775,0.046
75.0,-0.0,-295.0,-0.0,0.0,180.0,25.81,-1.37,-114.2,-0.003,-0.015,0.633,0.774,0.049
75.0,-0.0,-310.0,-0.0,0.0,180.0,26.11,-1.8,-99.39,-0.002,-0.014,0.634,0.773,0.05
75.0,-0.0,-325.0,-0.0,0.0,180.0,26.35,-1.92,-84.49,-0.001,-0.013,0.638,0.77,0.051
75.0,15.0,-175.0,-0.0,0.0,180.0,24.16,14.38,-231.53,-0.009,-0.018,0.616,0.788,0.188
75.0,15.0,-190.0,-0.0,0.0,180.0,24.4,14.07,-217.28,-0.01,-0.018,0.618,0.786,0.15
75.0,15.0,-205.0,-0.0,0.0,180.0,24.6,13.94,-202.64,-0.01,-0.018,0.621,0.784,0.119
75.0,15.0,-220.0,-0.0,0.0,180.0,24.84,13.87,-188.2,-0.009,-0.017,0.624,0.782,0.093
75.0,15.0,-235.0,-0.0,0.0,180.0,25.02,13.9,-173.27,-0.008,-0.017,0.626,0.779,0.071
75.0,15.0,-250.0,-0.0,0.0,180.0,25.16,13.64,-158.59,-0.007,-0.016,0.628,0.778,0.055
75.0,15.0,-265.0,-0.0,0.0,180.0,25.35,13.39,-144.09,-0.006,-0.015,0.63,0.776,0.046
75.0,15.0,-280.0,-0.0,0.0,180.0,25.54,13.37,-129.16,-0.005,-0.015,0.632,0.775,0.042
75.0,15.0,-295.0,-0.0,0.0,180.0,25.74,13.32,-114.26,-0.003,-0.014,0.633,0.774,0.042
75.0,15.0,-310.0,-0.0,0.0,180.0,26.02,13.08,-99.49,-0.002,-0.013,0.634,0.773,0.044
75.0,15.0,-325.0,-0.0,0.0,180.0,26.32,12.89,-84.6,-0.001,-0.012,0.636,0.772,0.045
75.0,30.0,-175.0,-0.0,0.0,180.0,24.12,28.7,-231.7,-0.01,-0.018,0.614,0.789,0.194
75.0,30.0,-190.0,-0.0,0.0,180.0,24.38,28.72,-217.52,-0.009,-0.017,0.617,0.787,0.161
75.0,30.0,-205.0,-0.0,0.0,180.0,24.63,28.42,-203.02,-0.01,-0.017,0.62,0.785,0.13
75.0,30.0,-220.0,-0.0,0.0,180.0,24.86,28.49,-188.49,-0.009,-0.016,0.623,0.782,0.103
75.0,30.0,-235.0,-0.0,0.0,180.0,25.0,28.35,-173.52,-0.009,-0.016,0.626,0.78,0.082
75.0,30.0,-250.0,-0.0,0.0,180.0,25.16,28.45,-158.8,-0.007,-0.016,0.628,0.778,0.064
75.0,30.0,-265.0,-0.0,0.0,180.0,25.33,28.38,-144.34,-0.005,-0.014,0.631,0.776,0.052
75.0,30.0,-280.0,-0.0,0.0,180.0,25.52,28.09,-129.26,-0.005,-0.014,0.632,0.775,0.045
75.0,30.0,-295.0,-0.0,0.0,180.0,25.74,28.14,-114.51,-0.003,-0.013,0.634,0.773,0.043
75.0,30.0,-310.0,-0.0,0.0,180.0,25.96,27.85,-99.52,-0.002,-0.012,0.635,0.772,0.043
75.0,30.0,-325.0,-0.0,0.0,180.0,26.3,27.63,-84.76,-0.001,-0.011,0.637,0.771,0.044
75.0,45.0,-175.0,-0.0,0.0,180.0,24.1,43.27,-232.32,-0.009,-0.017,0.612,0.79,0.202
75.0,45.0,-190.0,-0.0,0.0,180.0,24.42,42.89,-217.92,-0.01,-0.016,0.615,0.788,0.169
75.0,45.0,-205.0,-0.0,0.0,180.0,24.65,43.13,-203.4,-0.009,-0.016,0.619,0.785,0.14
75.0,45.0,-220.0,-0.0,0.0,180.0,24.78,42.92,-188.7,-0.009,-0.016,0.622,0.783,0.116
75.0,45.0,-235.0,-0.0,0.0,180.0,25.01,42.84,-173.79,-0.009,-0.015,0.625,0.78,0.095
75.0,45.0,-250.0,-0.0,0.0,180.0,25.15,43.09,-159.1,-0.007,-0.015,0.628,0.778,0.076
75.0,45.0,-265.0,-0.0,0.0,180.0,25.36,42.8,-144.47,-0.005,-0.014,0.63,0.776,0.063
