robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
250.0,-50.0,75.0,180.0,-0.0,-0.0,52.0,-52.6,-195.03,-0.291,0.955,-0.027,0.044,0.319
250.0,-50.0,125.0,-180.0,0.0,-0.0,3.38,-53.19,-196.65,-0.286,0.957,-0.027,0.048,0.398
250.0,-50.0,175.0,180.0,0.0,-0.0,-46.8,-54.9,-197.44,-0.282,0.958,-0.03,0.039,0.241
250.0,-0.0,75.0,-180.0,0.0,-0.0,51.36,-3.38,-195.82,-0.287,0.957,-0.026,0.04,0.279
250.0,-0.0,125.0,180.0,-0.0,-0.0,2.99,-3.68,-196.73,-0.282,0.958,-0.027,0.046,0.401
250.0,-0.0,175.0,-180.0,-0.0,-0.0,-45.98,-4.88,-198.36,-0.277,0.959,-0.029,0.044,0.311
250.0,50.0,75.0,180.0,-0.0,-0.0,51.14,44.75,-196.96,-0.266,0.963,-0.03,0.036,0.236
250.0,50.0,125.0,-180.0,-0.0,-0.0,2.63,44.18,-197.48,-0.255,0.965,-0.033,0.041,0.338
250.0,50.0,175.0,180.0,-0.0,-0.0,-45.83,43.85,-198.94,-0.266,0.962,-0.033,0.046,0.399
300.0,-50.0,75.0,-180.0,0.0,-0.0,51.34,-53.69,-146.35,-0.284,0.958,-0.024,0.037,0.175
300.0,-50.0,125.0,180.0,0.0,-0.0,2.37,-53.78,-147.34,-0.291,0.956,-0.023,0.041,0.277
300.0,-50.0,175.0,-180.0,-0.0,-0.0,-47.95,-55.28,-147.8,-0.288,0.957,-0.026,0.035,0.107
300.0,-0.0,75.0,180.0,-0.0,-0.0,51.0,-3.73,-146.94,-0.288,0.957,-0.021,0.035,0.145
300.0,-0.0,125.0,-180.0,0.0,-0.0,1.73,-4.18,-147.61,-0.29,0.956,-0.023,0.037,0.205
300.0,-0.0,175.0,180.0,0.0,-0.0,-47.69,-5.21,-148.11,-0.288,0.957,-0.024,0.037,0.149
300.0,50.0,75.0,-180.0,0.0,-0.0,50.72,44.71,-147.56,-0.278,0.96,-0.026,0.032,0.102
300.0,50.0,125.0,180.0,0.0,-0.0,1.57,44.35,-148.01,-0.27,0.962,-0.027,0.034,0.164
300.0,50.0,175.0,-180.0,0.0,-0.0,-47.84,43.55,-148.72,-0.278,0.959,-0.028,0.037,0.2
350.0,-50.0,75.0,180.0,0.0,-0.0,50.72,-54.45,-97.05,-0.281,0.959,-0.02,0.028,0.088
350.0,-50.0,125.0,-180.0,0.0,-0.0,1.99,-54.62,-97.71,-0.293,0.955,-0.02,0.031,0.142
350.0,-50.0,175.0,180.0,0.0,-0.0,-48.53,-55.75,-98.28,-0.291,0.956,-0.02,0.03,0.033
350.0,-0.0,75.0,-180.0,0.0,-0.0,50.8,-4.42,-97.49,-0.286,0.957,-0.017,0.03,0.093
350.0,-0.0,125.0,180.0,-0.0,-0.0,0.99,-5.19,-97.95,-0.291,0.956,-0.022,0.029,0.083
350.0,-0.0,175.0,-180.0,-0.0,-0.0,-48.98,-6.49,-97.93,-0.28,0.959,-0.025,0.026,0.029
350.0,50.0,75.0,180.0,-0.0,-0.0,50.39,44.13,-97.58,-0.283,0.958,-0.023,0.027,0.056
350.0,50.0,125.0,-180.0,-0.0,-0.0,0.95,43.93,-98.04,-0.281,0.959,-0.023,0.028,0.078
350.0,50.0,175.0,180.0,-0.0,-0.0,-48.88,42.69,-98.67,-0.263,0.964,-0.028,0.027,0.114
